Comunidad,Nombre,Direccion,Email,Telefono,Tipo
Andalucía,Universidad de Cádiz (UCA),Centro Cultural Reina Sofía, Paseo Carlos III, 28, CP 11003 Cádiz (CÁDIZ),relaciones.institucionales@uca.es,956015033,pública
Andalucía,Universidad de Córdoba (UCO),Avenida de Medina Azahara, 5, CP 14071, CORDOBA (CÓRDOBA),informacion@uco.es,957218000,pública
Andalucía,Universidad de Granada (UGR),Calle Cuesta del Hospicio, s/n, CP 18015, GRANADA (GRANADA),csirc@ugr.es,958243000,pública
Andalucía,Universidad de Málaga (UMA),Avenida Cervantes, 2, CP 29071, MALAGA (MÁLAGA), info@uma.es,952131313,pública
Andalucía,Universidad de Sevilla (USE),Calle San Fernando, 4, CP 41004, SEVILLA (SEVILLA),registro@us.es, 954551000,pública
Andalucía,Universidad de Almería (UAL), Carretera Sacramento, s/n, CP 04120, LA CAÑADA DE SAN URBANO (ALMERÍA),null,950015550,pública
Andalucía,Universidad de Huelva (UHU),Calle Doctor Cantero Cuadrado, 6, CP 21004, HUELVA (HUELVA),www@uhu.es, 959218000,pública
Andalucía,Universidad de Jaén (UJA),Campus de las Lagunillas, s/n, CP 23071, JAEN (JAÉN),info@ujaen.es, 959218000,pública
Andalucía,Universidad Pablo de Olavide (UPO),Carretera de Utrera, km. 1, CP 41013, SEVILLA (SEVILLA),null,954349200,pública
Andalucía,Universidad Internacional de Andalucía (UNIA),Monasterio Santa María de las Cuevas. Calle Américo Vespucio, 2, CP 41092, LA CARTUJA (SEVILLA),sevilla@unia.es,954462299,pública
Andalucía,Universidad Loyola Andalucía (ULA),Av. de las Universidades, 2, CP 41704 Dos Hermanas (SEVILLA),secretariageneral@uloyola.es,955641600,privada
Aragón,Universidad de Zaragoza (UZA),Calle Pedro Cerbuna, 12 – Ciudad Universitaria, CP 50009, ZARAGOZA (ZARAGOZA),ciu@unizar.es, 976761000,pública
Aragón,Universidad San Jorge (USJ),Campus Universitario de Villanueva de Gállego, Autovía A-23 Zaragoza-Huesca Km. 299, CP 50.830 Villanueva de Gállego (ZARAGOZA),info@usj.es, 976060100,privada
Canarias,Universidad de La Laguna (ULL),Pabellón de Gobierno, C/ Padre Herrera s/n, Apartado Postal 456, CP 38200, San Cristóbal de La Laguna (SANTA CRUZ DE TENERIFE),null,922319000,pública
Canarias,Universidad de Las Palmas de Gran Canaria (UPGC),Calle Juan de Quesada, nº 30, CP 35001, LAS PALMAS DE GRAN CANARIA (LAS PALMAS),sie@ulpgc.es,928451072/74,pública
Canarias,Universidad Europea de Canarias (UEC),Casa Salazar. Calle Inocencio García 1, CP 38300, LA OROTAVA (SANTA CRUZ DE TENERIFE),admisiones.canarias@uem.es,922097091,privada
Canarias,Universidad Fernando Pessoa-Canarias (UFP-C) (UFPC),Calle Alcalde Francisco Hernández González, 28, CP 35002, SANTA MARIA DE GUIA (LAS PALMAS),informacion@ufpcanarias.es,928313420,privada
Canarias,Universidad del Atlántico Medio (-),Carretera de Quilmes, 37, CP 35017, TAFIRA BAJA (LAS PALMAS),administracion@atlanticomedio.es,828019019,privada
Canarias,Universidad de las Hespérides (-),Calle los Balcones, 10, CP 35001, Las Palmas de Gran Canaria (LAS PALMAS),null,928311300,privada
Cantabria,Universidad de Cantabria (UCN),Avenida de los Castros, s/n, CP 39005, SANTANDER (CANTABRIA),servicios.web@unican.es,942202223,pública
Cantabria,Universidad Europea del Atlántico (UA),C/ Isabel Torres 21, CP 39011, SANTANDER (SANTANDER), info@uneatlantico.es,942244244,privada
Castilla y León,Universidad de León (ULE),Avda. de la Facultad, 25, CP 24071, LEON (LEÓN), rectorado@unileon.es,987291000,pública
Castilla y León,Universidad de Salamanca (USAL), Patio de Escuelas 1, CP 37008, SALAMANCA (SALAMANCA), informacion@usal.es,923294400,pública
Castilla y León,Universidad de Valladolid (UVA), Palacio de Sta. Cruz, nº 8, CP 47002, VALLADOLID (VALLADOLID), valladolid@uva.es,983423000,pública
Castilla y León,Universidad Pontificia de Salamanca (UPSA), C/ Compañía, 5, CP 37008, SALAMANCA (SALAMANCA), orientacionlaboral@upsa.es,923277100,privada
