"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Addax MT15n 55 km/h Caja flatbed","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Cargo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Chasis","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Combo Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Frigo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Tipper container","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 60 km/h Caja flatbed","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Cargo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Chasis","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Combo Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Frigo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Tipper container","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 70 km/h Caja flatbed","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Cargo","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Chasis","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Combo Tipper","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Frigo","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Tipper","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Tipper container","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15x 55 km/h Caja flatbed","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Cargo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Chasis","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Combo Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Frigo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Tipper container","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 60 km/h Caja flatbed","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Cargo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Chasis","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Combo Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Frigo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Tipper container","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT8n Caja flatbed","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
"Addax MT8n Cargo","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
"Addax MT8n Chasis","","Eléctricos puros","N1","1910","18.4","12.5","60.0","8.0"
"Addax MT8n Combo Tipper","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
"Addax MT8n Frigo","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
"Addax MT8n Tipper","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
"Addax MT8n Tipper container","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
