"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Alfa Romeo GIULIETTA 1.4 TB 120cv  SUPER","","Gasolina","M1","1280","","","",""
"Alfa Romeo GIULIETTA 1.4 TB 120cv B-TECH","","Gasolina","M1","1280","","","",""
"Alfa Romeo GIULIETTA 1.4 TB 120cv GIULIETTA","","Gasolina","M1","1280","","","",""
"Alfa Romeo GIULIETTA 1.4 TB 120cv SPORT","","Gasolina","M1","1280","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv B-TECH","","Gasóleo","M1","1390","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv GIULIETTA","","Gasóleo","M1","1390","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv SPORT","","Gasóleo","M1","1390","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv SUPER","","Gasóleo","M1","1390","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT GIULIETTA","","Gasóleo","M1","1400","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SPORT","","Gasóleo","M1","1400","","","",""
"Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SUPER","","Gasóleo","M1","1400","","","",""
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPECIALE Q4","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPECIALE Q4 e-AWD","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPRINT Q4","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPRINT Q4 e-AWD","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV Ti Q4","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV Ti Q4 e-AWD","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV VELOCE Q4","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV VELOCE Q4 e-AWD","","Híbridos enchufables","M1","2470","15.0","90.0","69.0","15.5"
"Alfa Romeo Tonale 1,6 DS 130 CV SPRINT FWD","","Gasóleo","M1","2260","","","",""
"Alfa Romeo Tonale 1,6 DS 130 CV SUPER FWD","","Gasóleo","M1","2260","","","",""
"Alfa Romeo Tonale 1,6 DS 130 CV Ti FWD","","Gasóleo","M1","2260","","","",""
"Alfa Romeo Tonale 1.5 MHEV GASOLINA 130 CV SPRINT FWD","","Híbridos de gasolina","M1","2210","","15.0","","0.8"
"Alfa Romeo Tonale 1.5 MHEV GASOLINA 130 CV SUPER FWD","","Híbridos de gasolina","M1","2210","","15.0","","0.8"
"Alfa Romeo Tonale 1.5 MHEV GASOLINA 160 CV Ti FWD","","Híbridos de gasolina","M1","2210","","15.0","","0.8"
"Alfa Romeo Tonale 1.5 MHEV GASOLINA 160 CV VELOCE FWD","","Híbridos de gasolina","M1","2210","","15.0","","0.8"
