"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Audi  A1 citycarver 25 TFSI 70 kW (95 CV) 5 vel. Básico / Black Line MY21","","Gasolina","M1","1660","","","",""
"Audi  A1 citycarver 25 TFSI 70 kW (95 CV) 5 vel. MY21","","Gasolina","M1","1655","","","",""
"Audi  A1 citycarver 30 TFSI 81 kW (110 CV) 6 vel.  MY21","","Gasolina","M1","1680","","","",""
"Audi  A1 citycarver 30 TFSI 81 kW (110 CV) 6 vel. Básico / Black Line MY21","","Gasolina","M1","1675","","","",""
"Audi  A1 citycarver 30 TFSI 81 kW (110 CV) S tronic 7 vel  MY21","","Gasolina","M1","1710","","","",""
"Audi  A1 citycarver 30 TFSI 81 kW (110 CV) S tronic 7 vel Básico / Black Line MY21","","Gasolina","M1","1695","","","",""
"Audi  A1 citycarver 30 TFSI 85 kW (116 CV) 6 vel. MY21","","Gasolina","M1","1680","","","",""
"Audi  A1 citycarver 30 TFSI 85 kW (116 CV) S tronic 7 vel MY21","","Gasolina","M1","1710","","","",""
"Audi  A1 citycarver 35 TFSI 110 kW (116 CV) 6 vel. MY21","","Gasolina","M1","1730","","","",""
"Audi  A1 citycarver 35 TFSI 110 kW (116 CV) S tronic 7 vel MY21","","Gasolina","M1","1740","","","",""
"Audi  A1 citycarver 35 TFSI 110 kW (150 CV) 6 vel. MY 20","","Gasolina","M1","1730","","","",""
"Audi  A1 citycarver 35 TFSI 110 kW (150 CV) S tronic MY 20","","Gasolina","M1","1740","","","",""
"Audi A1 Allstreet 25 TFSI 70 kW (95 CV) 5 vel. Adrenalin/Adrenalin Black line MY23","","Gasolina","M1","1660","","","",""
"Audi A1 Allstreet 25 TFSI 70 kW (95 CV) 5 vel. Basic MY23","","Gasolina","M1","1660","","","",""
"Audi A1 Allstreet 30 TFSI 81 (119 CV) S tronic 7 vel. Adrenalin/Adrenalin Black line MY23","","Gasolina","M1","1695","","","",""
"Audi A1 Allstreet 30 TFSI 81 kW (110 CV) 6 vel. Adrenalin/Adrenalin Black line MY23","","Gasolina","M1","1740","","","",""
"Audi A1 Allstreet 30 TFSI 81 kW (110 CV) 6 vel. Basic MY23","","Gasolina","M1","1675","","","",""
"Audi A1 Allstreet 30 TFSI 81 kW (110 CV) S tronic 7 vel. Basic MY23","","Gasolina","M1","1695","","","",""
"Audi A1 Allstreet 35 TFSI 110 kW (150 CV) S tronic 7 vel. Adrenalin/ Adrenalin Black line MY23","","Gasolina","M1","1740","","","",""
"Audi A1 Allstreet 35 TFSI 110 kW (150 CV) S tronic 7 vel. Basic MY23","","Gasolina","M1","1740","","","",""
"Audi A1 City Carver 25 TFSI 70 kW (95 CV) 5 vel. MY 20","","Gasolina","M1","1655","","","",""
"Audi A1 City Carver 30 TFSI 85 kW (116 CV) 6 vel. MY 20","","Gasolina","M1","1680","","","",""
"Audi A1 City Carver 30 TFSI 85 kW (116 CV) S tronic MY 20","","Gasolina","M1","1710","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Adrenalin/Adrenalin Black line MY23","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Advanced MY23","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Básico MY22","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Básico/Advanced MY21","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Básico/Advanced MY21","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. MY 20","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. MY19","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. S line/Adrenalin/ Black line MY21","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. S line/Adrenalin/Black Line MY21","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. S line/Black line MY22","","Gasolina","M1","1630","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) S tronic MY 20","","Gasolina","M1","1660","","","",""
"Audi A1 SPORTBACK 25 TFSI 70 kW (95CV) S tronic MY 21","","Gasolina","M1","1675","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Adrenalin/Adrenalin Black line MY23","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Advanced MY23","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Básico MY22","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Básico/Advanced MY21","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. S line/Adrenalin/Black line MY21","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. S line/Black line MY22","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Adrenalin/Adrenalin Black line MY23","","Gasolina","M1","1680","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Advanced MY23","","Gasolina","M1","1680","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Básico MY22","","Gasolina","M1","1680","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Básico/Advanced MY21","","Gasolina","M1","1680","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel S Line/Adrenalin/Black line MY21","","Gasolina","M1","1680","","","",""
"Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel S line/Black line MY22","","Gasolina","M1","1680","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. Básico/Advanced MY21","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. MY 20","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. MY19","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. S line/Adrenalin/Black line MY21","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. S line/Adrenalin/Black Line MY21","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel.Básico/Advanced MY21","","Gasolina","M1","1655","","","",""
"Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic 7 vel Básico/Advanced MY21","","Gasolina","M1","1680","","","",""
