"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"BMW 116d (Desde prod 01/2021) 7M71","","Gasóleo","M1","1940","","","",""
"BMW 116d (Desde prod 01/2021) 7M71 Manual","","Gasóleo","M1","1925","","","",""
"BMW 116d (Desde prod 07/2019) 7M71","","Gasóleo","M1","2000","","","",""
"BMW 116d (Desde prod 11/2019) 7M71","","Gasóleo","M1","1940","","","",""
"BMW 118d (Desde prod 01/2021) 7M91","","Gasóleo","M1","1980","","","",""
"BMW 118d (Desde prod 01/2021) 7M91 Manual","","Gasóleo","M1","1950","","","",""
"BMW 118d (Desde prod 07/2019) 7M91","","Gasóleo","M1","2025","","","",""
"BMW 118d (Desde prod 11/2019) 7M91 Manual","","Gasóleo","M1","1980","","","",""
"BMW 118d Manual (Desde prod 07/2019) 7M91 Manual","","Gasóleo","M1","2025","","","",""
"BMW 118i Automático (Desde prod 01/2021) 7K31 Automático","","Gasolina","M1","1870","","","",""
"BMW 118i Automático (Desde prod 07/2019) 7K31 Automático","","Gasolina","M1","1845","","","",""
"BMW 118i Manual (Desde prod 07/2019) 7K31 Manual","","Gasolina","M1","1845","","","",""
"BMW 118i Manual (Desde prod 11/2019) 7K31 Manual","","Gasolina","M1","1870","","","",""
"BMW 120d (Desde prod 03/2020) 7N31","","Gasóleo","M1","2075","","","",""
"BMW 120d xDrive (Desde prod 01/2021) 7N31","","Gasóleo","M1","2000","","","",""
"BMW 120d xDrive (Desde prod 11/2019) 7N31","","Gasóleo","M1","2065","","","",""
"BMW 120i Automático (Desde prod 01/2021) 7K51 Automático","","Gasolina","M1","1920","","","",""
"BMW 120i Automático (Desde prod 07/2020) 7K51 Automático","","Gasolina","M1","1920","","","",""
"BMW 128ti (Desde prod 01/2021) 7L51","","Gasolina","M1","2000","","","",""
"BMW 128ti (Desde prod 10/2020) 7L51","","Gasolina","M1","2000","","","",""
"BMW 216d Active Tourer (Desde prod 01/2021) 6T51","","Gasóleo","M1","1975","","","",""
"BMW 216d Active Tourer (Desde prod 07/2020) 6T51","","Gasóleo","M1","1975","","","",""
"BMW 216d Active Tourer (Desde prod 11/2019) 6T51 Manual","","Gasóleo","M1","1975","","","",""
