"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Citroën  Nuevo C5 Aircross Plug-in Hybrid 225 EAT8 SHINE","","Híbridos enchufables","M1","2300","","81.2","55.0","13.2"
"Citroën  SUV C5 Aircross BlueHDi 130 S&S 6v","","Gasóleo","M1","2000","","","",""
"Citroën  SUV C5 Aircross BlueHDi 130 S&S EAT8","","Gasóleo","M1","2030","","","",""
"Citroën  SUV C5 Aircross BlueHDi 130 S&S EAT8 Max","","Gasóleo","M1","2030","","","",""
"Citroën  SUV C5 Aircross BlueHDi 130 S&S EAT8 Plus","","Gasóleo","M1","2030","","","",""
"Citroën  SUV C5 Aircross HYBRID 136 e-DCS6 Ë Series","","Híbridos de gasolina","M1","2050","","15.0","",""
"Citroën  SUV C5 Aircross HYBRID 136 e-DCS6 Max","","Híbridos de gasolina","M1","2050","","15.0","",""
"Citroën  SUV C5 Aircross HYBRID 136 e-DCS6 Plus","","Híbridos de gasolina","M1","2050","","15.0","",""
"Citroën  SUV C5 Aircross HYBRID 136 e-DCS6 You","","Híbridos de gasolina","M1","2050","","15.0","",""
"Citroën  SUV C5 Aircross Plug In Hybrid 225 ë-EAT8 Shine Pack","","Híbridos enchufables","M1","2310","20.6","81.0","64.0","13.2"
"Citroën  SUV C5 Aircross Plug-In Hybrid 180 ë-EAT8 Ë Series","","Híbridos enchufables","M1","2310","176.0","81.2","55.0","12.4"
"Citroën  SUV C5 Aircross Plug-In Hybrid 180 ë-EAT8 Max","","Híbridos enchufables","M1","2310","176.0","81.2","55.0","12.4"
"Citroën  SUV C5 Aircross Plug-In Hybrid 180 ë-EAT8 Plus","","Híbridos enchufables","M1","2310","176.0","81.2","55.0","12.4"
"Citroën  SUV C5 Aircross Plug-In Hybrid 225 ë-EAT8","","Híbridos enchufables","M1","2310","16.6","81.2","66.0","14.2"
