"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"CUPRA Ateca 2.0 TSI 221 KW (300 CV) DSG 4Drive","","Gasolina","M1","2170","","","",""
"CUPRA BORN 150kW (204CV) 58kWh","","Eléctricos puros","M1","2260","16.7","150.0","424.0","58.0"
"CUPRA BORN 150kW (204CV) 58kWh Advanced Plus","","Eléctricos puros","M1","2280","17.3","150.0","424.0","58.0"
"CUPRA BORN 150kW (204CV) 62kWh LAUNCH EDITION","","Eléctricos puros","M1","2260","16.7","150.0","424.0","58.0"
"CUPRA BORN 170kW (231CV) 58kWh e-Boost Pack Advanced Plus","","Eléctricos puros","M1","2290","17.6","170.0","420.0","58.0"
"CUPRA BORN 170kW (231CV) 77kWh e-Boost Pack + Battery Pack Advanced Plus","","Eléctricos puros","M1","2310","17.5","170.0","549.0","77.0"
"CUPRA BORN 58kWh 170kW (231CV) e-Boost Pack","","Eléctricos puros","M1","2280","17.4","170.0","420.0","58.0"
"CUPRA BORN 58kWh 170kW (231CV) e-Boost Pack LAUNCH EDITION","","Eléctricos puros","M1","2280","17.4","170.0","420.0","58.0"
"CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack (4 plazas)","","Eléctricos puros","M1","2300","17.5","170.0","549.0","77.0"
"CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack (5 plazas)","","Eléctricos puros","M1","2300","17.5","170.0","549.0","77.0"
"CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack LAUNCH EDITION","","Eléctricos puros","M1","2300","17.5","170.0","495.0","77.0"
"CUPRA Formentor 1.4 e-HYBRID 150 KW (204 CV) DSG 6 vel","","Híbridos enchufables","M1","2120","14.8","85.0","55.0","12.8"
"CUPRA Formentor VZ 1.4 e-HYBRID 180 KW (245 CV) DSG 6 vel","","Híbridos enchufables","M1","2120","16.1","85.0","55.0","12.8"
"CUPRA Leon 1.4 TSI e-HYBRID 150 Kw (204 CV) DSG","","Híbridos enchufables","M1","2060","15.3","85.0","63.0","12.8"
"CUPRA Leon 1.4 TSI e-HYBRID 180kW (245CV) DSG","","Híbridos enchufables","M1","2070","15.5","85.0","60.0","12.8"
"CUPRA Leon Sportstourer 1.4 TSI e-HYBRID 150 Kw (204 CV) DSG","","Híbridos enchufables","M1","2080","15.5","85.0","62.0","12.8"
"CUPRA Leon Sportstourer 1.4 TSI e-HYBRID 180kW (245CV) DSG","","Híbridos enchufables","M1","2090","15.7","85.0","59.0","12.8"
