"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"DS DS 3 BLUEHDI 130","","Gasóleo","M1","1750","","","",""
"DS DS 3 CROSSBACK BlueHDi 100 Manual","","Gasóleo","M1","1695","","","",""
"DS DS 3 CROSSBACK BlueHDi 110 Manual","","Gasóleo","M1","1695","","","",""
"DS DS 3 CROSSBACK BlueHDi 130 Automático","","Gasóleo","M1","1735","","","",""
"DS DS 3 CROSSBACK BlueHDi 130 Automático 6.3","","Gasóleo","M1","1735","","","",""
"DS DS 3 CROSSBACK E-TENSE","","Eléctricos puros","M1","2008","17.0","100.0","320.0","50.0"
"DS DS 3 CROSSBACK PureTech 100 Manual","","Gasolina","M1","1650","","","",""
"DS DS 3 CROSSBACK PureTech 130 Automático","","Gasolina","M1","1700","","","",""
"DS DS 3 CROSSBACK PureTech 155 Automático","","Gasolina","M1","1705","","","",""
"DS DS 3 E-TENSE","","Eléctricos puros","M1","2008","16.4","115.0","404.0","54.0"
"DS DS 3 PURETECH 130","","Gasolina","M1","1715","","","",""
"DS DS 4 BLUEHDI 130","","Gasóleo","M1","2000","","","",""
"DS DS 4 E-TENSE 225","","Híbridos enchufables","M1","2200","14.9","81.2","67.0","12.4"
"DS DS 4 PURETECH 130","","Gasolina","M1","2010","","","",""
"DS DS 4 PURETECH 180","","Gasolina","M1","1980","","","",""
"DS DS 4 PURETECH 225","","Gasolina","M1","1990","","","",""
"DS DS 7 BLUEHDI 130","","Gasóleo","M1","2050","","","",""
"DS DS 7 CROSSBACK BlueHDi 130 Automático","","Gasóleo","M1","2050","","","",""
"DS DS 7 CROSSBACK BlueHDi 130 Automático 6.3","","Gasóleo","M1","2050","","","",""
"DS DS 7 CROSSBACK BlueHDi 130 Manual","","Gasóleo","M1","2030","","","",""
"DS DS 7 CROSSBACK BlueHDi 180 Automático","","Gasóleo","M1","2135","","","",""
"DS DS 7 CROSSBACK E-TENSE 225","","Híbridos enchufables","M1","2350","","81.2","55.0","13.2"
"DS DS 7 CROSSBACK E-TENSE 4x4","","Híbridos enchufables","M1","2400","","160.0","57.0","13.2"
"DS DS 7 CROSSBACK PureTech 130 Automático","","Gasolina","M1","2010","","","",""
"DS DS 7 CROSSBACK PureTech 130 Manual","","Gasolina","M1","1985","","","",""
"DS DS 7 CROSSBACK PureTech 180 Automático","","Gasolina","M1","2050","","","",""
"DS DS 7 CROSSBACK PureTech 225 Automático","","Gasolina","M1","2050","","","",""
"DS DS 7 E-TENSE 225","","Híbridos enchufables","M1","2325","17.4","81.2","65.0","14.2"
"DS DS 7 E-TENSE 4X4 300","","Híbridos enchufables","M1","2400","17.7","164.2","63.0","14.2"
"DS DS 7 E-TENSE 4X4 360","","Híbridos enchufables","M1","2400","18.7","164.2","57.0","14.2"
"DS DS 9 E-TENSE 225","","Híbridos enchufables","M1","2319","","81.2","46.0","11.9"
"DS DS 9 E-TENSE 250","","Híbridos enchufables","M1","2350","18.0","81.2","75.0","15.6"
"DS DS 9 E-TENSE 4x4 360","","Híbridos enchufables","M1","2420","","164.2","62.0","15.6"
"DS DS 9 PureTech 225 Automático","","Gasolina","M1","2075","","","",""
