"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Fiat 500 500 1.2 8v 51KW (69 CV) GLP","","Gases licuados del petróleo (GLP)","M1","865","","","",""
"Fiat 500 500 Collezione 1.2 8v 51KW (69 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Collezione Fall 1.2 8v 51KW (69 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Launch Edition 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Launch Edition 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Lounge 0.9 63KW (85 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Lounge 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Lounge 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Lounge 1.2 8v 51KW (69 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Mirror 1.2 8v 51KW (69 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Pop 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Pop 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Pop 1.2 8v 51KW (69 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Rockstar 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Rockstar 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 S 0.9 63KW (85 CV)","","Gasolina","M1","905","","","",""
"Fiat 500 500 S 1.2 8v 51KW (69 CV)","","Gasolina","M1","865","","","",""
"Fiat 500 500 Sport 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Sport 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Star 1.0 Bz 6v BSG 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 500 Star 1.0 Bz 6v Hybrid 52 KW (70 CV) - MY20","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Berlina 500 Club 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","1300","","","",""
"Fiat 500 Berlina 500 Cult 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","1300","","","",""
"Fiat 500 Berlina 500 Dolcevita 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","1300","","","",""
"Fiat 500 Berlina 500 Red 1.0 Hybrid 51 KW (70 CV)","","Híbridos de gasolina","M1","1300","","","",""
"Fiat 500 Berlina MY23 500 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","1300","","","",""
"Fiat 500 Berlina Serie 9 500 Red 1.0 Hybrid 51 KW (70 CV)","","Híbridos de gasolina","M1","1300","","","",""
"Fiat 500 Cabrio 500C Club 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio 500C Cult 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio 500C Dolcevita 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio 500C Red 1.0 Hybrid 51 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio MY23 500C 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio MY23 500C Dolcevita 1.0 Hybrid 52 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio MY23 500C Red 1.0 Hybrid 51 KW (70 CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio Serie 9 500C Red Híbrido 1.0 Gse 51kw (70CV)","","Híbridos de gasolina","M1","980","","","",""
"Fiat 500 Cabrio Serie 9 Connect/Sport Híbrido 1.0 Gse 51kw (70CV)","","Híbridos de gasolina","M1","980","","","",""
