"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Ford E-Transit (03.2023) Chasis (completo) batalla extralarga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","34.5","135.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla extralarga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","34.5","135.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla extralarga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","34.5","198.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla extralarga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","34.5","198.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla larga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","34.5","135.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla larga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","34.5","135.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla larga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","34.5","198.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (completo) batalla larga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","34.5","198.0","240.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla extralarga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","32.2","135.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla extralarga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","32.2","135.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla extralarga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","32.2","198.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla extralarga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","32.2","198.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla larga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","32.2","135.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla larga BEV 75kWh (68kWh útil) 184CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","32.2","135.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla larga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N1)","","Eléctricos puros","N1","3500","32.2","198.0","252.0","75.7"
"Ford E-Transit (03.2023) Chasis (incompleto) batalla larga BEV 75kWh (68kWh útil) 269CV Aut. Trend (N2)","","Eléctricos puros","N2","4200","32.2","198.0","252.0","75.7"
