"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Honda CIVIC CIVIC 5DR Type R 2.0 VTEC Turbo 6MT","","Gasolina","M1","1800","","","",""
"Honda CIVIC CIVIC Hybrid Advance i-MMD eCVT","","Híbridos de gasolina","M1","1930","","","",""
"Honda CIVIC CIVIC Hybrid Elegance i-MMD eCVT","","Híbridos de gasolina","M1","1865","","","",""
"Honda CIVIC CIVIC Hybrid Sport i-MMD eCVT","","Híbridos de gasolina","M1","1930","","","",""
"Honda CR-V CR-V Hybrid Advance i-MMD eCVT 4x4 24YM","","Híbridos de gasolina","M1","2350","","","",""
"Honda CR-V CR-V Hybrid Elegance i-MMD eCVT 4x2","","Híbridos de gasolina","M1","2240","","","",""
"Honda CR-V CR-V Hybrid Elegance i-MMD eCVT 4x2 24YM","","Híbridos de gasolina","M1","2260","","","",""
"Honda CR-V CR-V Hybrid Executive i-MMD eCVT 4x4","","Híbridos de gasolina","M1","2275","","","",""
"Honda CR-V CR-V Hybrid Lifestyle i-MMD eCVT 4x2","","Híbridos de gasolina","M1","2240","","","",""
"Honda CR-V CR-V Hybrid Lifestyle i-MMD eCVT 4x4","","Híbridos de gasolina","M1","2275","","","",""
"Honda CR-V CR-V Hybrid PHEV Advance Tech i-MMD eCVT 4x2 24YM","","Híbridos enchufables","M1","2430","15.5","135.0","82.0","17.7"
"Honda CR-V CR-V Hybrid Sport Line i-MMD eCVT 4x2","","Híbridos de gasolina","M1","2240","","","",""
"Honda e:Ny1 Advance","","Eléctricos puros","M1","2080","18.2","150.0","412.0","68.8"
"Honda e:Ny1 Elegance","","Eléctricos puros","M1","2080","18.2","150.0","412.0","68.8"
"Honda Honda e Honda e Advance BEV","","Eléctricos puros","M1","1870","17.2","113.0","222.0","35.5"
"Honda Honda e Honda e BEV","","Eléctricos puros","M1","1855","17.2","100.0","222.0","35.5"
"Honda HR-V HR-V Hybrid Advance","","Híbridos de gasolina","M1","1870","","","",""
"Honda HR-V HR-V Hybrid Advance Style","","Híbridos de gasolina","M1","1870","","","",""
"Honda HR-V HR-V Hybrid Elegance","","Híbridos de gasolina","M1","1870","","","",""
"Honda JAZZ JAZZ Hybrid Comfort i-MMD eCVT","","Híbridos de gasolina","M1","1710","","","",""
"Honda JAZZ JAZZ Hybrid Elegance i-MMD eCVT","","Híbridos de gasolina","M1","1710","","","",""
"Honda JAZZ JAZZ Hybrid Executive i-MMD eCVT","","Híbridos de gasolina","M1","1710","","","",""
"Honda ZR-V ZR-V Hybrid Advance","","Gasolina","M1","2155","","","",""
"Honda ZR-V ZR-V Hybrid Sport","","Gasolina","M1","2130","","","",""
