"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Hyundai BAYON I20 5P MPI 1.2 85CV ESSENCE","","Gasolina","M1","1560","","","",""
"Hyundai BAYON I20 5P MPI 1.2 85CV KLASS","","Gasolina","M1","1560","","","",""
"Hyundai BAYON I20 5P TGDI 1.0 100CV 48V DT KLASS","","Híbridos de gasolina","M1","1660","","12.0","",""
"Hyundai BAYON I20 5P TGDI 1.0 100CV 48V DT TECNO","","Híbridos de gasolina","M1","1660","","12.0","",""
"Hyundai BAYON I20 5P TGDI 1.0 100CV 48V KLASS","","Híbridos de gasolina","M1","1640","","12.0","",""
"Hyundai BAYON I20 5P TGDI 1.0 100CV 48V TECNO","","Híbridos de gasolina","M1","1640","","12.0","",""
"Hyundai BAYON I20 5P TGDI 1.0 100CV KLASS","","Gasolina","M1","1610","","","",""
"Hyundai BAYON MPI 1.2 85CV ESSENCE","","Gasolina","M1","1580","","","",""
"Hyundai BAYON MPI 1.2 85CV KLASS","","Gasolina","M1","1580","","","",""
"Hyundai BAYON MPI 1.2 85CV MAXX","","Gasolina","M1","1580","","","",""
"Hyundai BAYON NEW I20 5P MPI 1.2 85CV N LINE 30A","","Gasolina","M1","1560","","","",""
"Hyundai BAYON NEW I20 5P TGDI 1.0 100CV TECNO","","Gasolina","M1","1610","","","",""
"Hyundai BAYON TGDI 1.0 100CV 48V DT MAXX","","Híbridos de gasolina","M1","1680","","12.2","",""
"Hyundai BAYON TGDI 1.0 100CV 48V DT TECNO","","Híbridos de gasolina","M1","1680","","12.0","",""
"Hyundai BAYON TGDI 1.0 100CV 48V ESSENCE","","Híbridos de gasolina","M1","1660","","12.0","",""
"Hyundai BAYON TGDI 1.0 100CV 48V KLASS","","Híbridos de gasolina","M1","1660","","12.0","",""
"Hyundai BAYON TGDI 1.0 100CV 48V MAXX","","Híbridos de gasolina","M1","1660","","12.2","",""
"Hyundai BAYON TGDI 1.0 100CV 48V SLX","","Híbridos de gasolina","M1","1660","","12.0","",""
"Hyundai BAYON TGDI 1.0 100CV 48V TECNO","","Híbridos de gasolina","M1","1660","","12.2","",""
"Hyundai BAYON TGDI 1.0 100CV MAXX","","Gasolina","M1","1630","","","",""
"Hyundai BAYON TGDI 1.0 100CV TECNO","","Gasolina","M1","1630","","","",""
"Hyundai BAYON TGDI 1.0 120CV 48V DT STYLE 2C","","Híbridos de gasolina","M1","1680","","12.2","",""
"Hyundai i10 MPI 1.0 66CV AT KLASS","","Gasolina","M1","1410","","","",""
"Hyundai i10 MPI 1.0 66CV ESSENCE","","Gasolina","M1","1410","","","",""
"Hyundai i10 MPI 1.0 66CV KLASS","","Gasolina","M1","1410","","","",""
"Hyundai i10 MPI 1.0 66CV TECNO","","Gasolina","M1","1410","","","",""
"Hyundai i10 MPI 1.2 84CV AT STYLE 2C","","Gasolina","M1","1430","","","",""
"Hyundai i10 MPI 1.2 84CV AT TECNO 2C","","Gasolina","M1","1430","","","",""
"Hyundai i10 MPI 1.2 84CV N LINE","","Gasolina","M1","1430","","","",""
"Hyundai i10 MPI 1.2 84CV N LINE 30A","","Gasolina","M1","1430","","","",""
"Hyundai i10 MPI 1.2 84CV TECNO 2C","","Gasolina","M1","1430","","","",""
"Hyundai i10 TGDI 1.0 100CV N LINE","","Gasolina","M1","1470","","","",""
"Hyundai i10 TGDI 1.0 100CV NLINE 2C","","Gasolina","M1","1470","","","",""
"Hyundai i30 5P 1.5 DPI 110CV ESSENCE","","Gasolina","M1","1750","","","",""
"Hyundai i30 5P CRDI 1.6 116CV DT KLASS","","Gasóleo","M1","1920","","","",""
"Hyundai i30 5P CRDI 1.6 116CV DT KLASS LR","","Gasóleo","M1","1920","","","",""
"Hyundai i30 5P CRDI 1.6 116CV KLASS","","Gasóleo","M1","1890","","","",""
"Hyundai i30 5P CRDI 1.6 116CV KLASS LR","","Gasóleo","M1","1890","","","",""
"Hyundai i30 5P CRDI 1.6 136CV 48V DT N LINE X","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 5P CRDI 1.6 136CV 48V KLASS","","Híbridos de gasóleo","M1","1900","","12.2","",""
"Hyundai i30 5P CRDI 1.6 136CV 48V KLASS LR","","Híbridos de gasóleo","M1","1900","","12.2","",""
"Hyundai i30 5P CRDI 1.6 136CV 48V N LINE","","Híbridos de gasóleo","M1","1900","","12.2","",""
"Hyundai i30 5P DPI 1.5 110CV KLASS SLX","","Gasolina","M1","1750","","","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V DT KLASS","","Híbridos de gasolina","M1","1840","","12.0","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V DT KLASS LR","","Híbridos de gasolina","M1","1840","","12.2","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V DT TECNO","","Híbridos de gasolina","M1","1840","","12.2","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V KLASS","","Híbridos de gasolina","M1","1810","","12.2","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V KLASS LR","","Híbridos de gasolina","M1","1810","","12.2","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V N LINE","","Híbridos de gasolina","M1","1810","","12.2","",""
"Hyundai i30 5P TGDI 1.0 120CV 48V TECNO","","Híbridos de gasolina","M1","1810","","12.2","",""
"Hyundai i30 5P TGDI 1.0 120CV ESSENCE","","Gasolina","M1","1800","","","",""
"Hyundai i30 5P TGDI 1.0 120CV KLASS","","Gasolina","M1","1800","","","",""
"Hyundai i30 5P TGDI 1.0 120CV KLASS LR","","Gasolina","M1","1800","","","",""
"Hyundai i30 5P TGDI 1.0 120CV N LINE 30A","","Gasolina","M1","1810","","","",""
"Hyundai i30 5P TGDI 1.5 160CV 48V DT N LINE","","Híbridos de gasolina","M1","1870","","12.2","",""
"Hyundai i30 5P TGDI 1.5 160CV 48V DT N LINE X","","Híbridos de gasolina","M1","1870","","12.2","",""
"Hyundai i30 5P TGDI 1.5 160CV 48V N LINE","","Híbridos de gasolina","M1","1840","","12.2","",""
"Hyundai i30 5P TGDI 2.0 250CV N","","Gasolina","M1","1920","","","",""
"Hyundai i30 5P TGDI 2.0 275CV N PROJECT C","","Gasolina","M1","1910","","","",""
"Hyundai i30 5P TGDI 2.0 280CV DRIVE N LE","","Gasolina","M1","1940","","","",""
"Hyundai i30 5P TGDI 2.0 280CV DT DRIVE N LE","","Gasolina","M1","1970","","","",""
"Hyundai i30 5P TGDI 2.0 280CV N PERFORMANCE","","Gasolina","M1","1940","","","",""
"Hyundai i30 5P TGDI 2.0 280CVDT N PERFORMANCE SKY","","Gasolina","M1","1970","","","",""
"Hyundai i30 CW CRDI 1.6 116CV KLASS","","Gasóleo","M1","1920","","","",""
"Hyundai i30 CW CRDI 1.6 116CV KLASS LR","","Gasóleo","M1","1920","","","",""
"Hyundai i30 CW CRDI 1.6 116CV KLASS NAV FLEET","","Gasóleo","M1","1920","","","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V DT N LINE X","","Híbridos de gasóleo","M1","1960","","12.2","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V KLASS","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V KLASS LR","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V N LINE","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V DT KLASS","","Híbridos de gasolina","M1","1880","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V KLASS","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V KLASS LR","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V N LINE","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV KLASS","","Gasolina","M1","1840","","","",""
"Hyundai i30 CW TGDI 1.0 120CV KLASS LR","","Gasolina","M1","1840","","","",""
"Hyundai i30 CW TGDI 1.0 120CV N LINE 30A","","Gasolina","M1","1850","","","",""
"Hyundai i30 CW TGDI 1.5 160CV 48V DT N LINE","","Híbridos de gasolina","M1","1900","","12.2","",""
"Hyundai i30 CW TGDI 1.5 160CV 48V DT N LINE X","","Híbridos de gasolina","M1","1900","","12.2","",""
"Hyundai i30 FB CRDI 1.6 136CV 48V KLASS","","Híbridos de gasóleo","M1","1920","","12.2","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V DT TECNO","","Híbridos de gasolina","M1","1860","","12.0","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V KLASS","","Híbridos de gasolina","M1","1830","","12.2","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V KLASS LR","","Híbridos de gasolina","M1","1830","","12.2","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V TECNO","","Híbridos de gasolina","M1","1830","","12.0","",""
"Hyundai i30 FB TGDI 1.0 120CV ESSENCE","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV ESSENCE LRR","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV KLASS","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV KLASS LR","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV N LINE 30A","","Gasolina","M1","1830","","","",""
"Hyundai i30 FB TGDI 1.5 160CV 48V DT N LINE X","","Híbridos de gasolina","M1","1880","","12.2","",""
"Hyundai i30 FB TGDI 1.5 160CV 48V N LINE","","Híbridos de gasolina","M1","1850","","12.2","",""
