"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Jaguar E-PACE 1.5 I3 PHEV 309 PS AWD Auto - R-Dynamic S/R-Dynamic SE/R-Dynamic HSE","","Híbridos enchufables","M1","2670","21.0","80.0","66.0","14.8"
"Jaguar E-PACE 2.0 I4 200 CV AWD Auto - HSE/R-Dynamic HSE","","Gasolina","M1","2400","","","",""
"Jaguar E-PACE 2.0 I4 200 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE","","Gasolina","M1","2400","","","",""
"Jaguar E-PACE 2.0 I4 249 CV AWD Auto - HSE/R-Dynamic HSE","","Gasolina","M1","2400","","","",""
"Jaguar E-PACE 2.0 I4 249 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE","","Gasolina","M1","2400","","","",""
"Jaguar E-PACE 2.0 I4 300 CV AWD Auto - HSE/R-Dynamic HSE","","Gasolina","M1","2400","","","",""
"Jaguar E-PACE 2.0 I4 300 CV AWD Auto - S/SE/R-Dynamic S/R-Dynamic SE","","Gasolina","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 150 CV AWD Auto - HSE/R-Dynamic HSE","","Gasóleo","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 150 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE","","Gasóleo","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 150 CV AWD Manual - Standard/S/R-Dynamic Base/R-Dynamic S","","Gasóleo","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 150 CV FWD Manual - Standard/S/R-Dynamic Base/R-Dynamic S","","Gasóleo","M1","2320","","","",""
"Jaguar E-PACE 2.0D I4 180 CV AWD Auto - HSE/R-Dynamic HSE","","Gasóleo","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 180 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE","","Gasóleo","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 180 CV AWD Manual - Standard/S/R-Dynamic Base/R-Dynamic S","","Gasóleo","M1","2400","","","",""
"Jaguar E-PACE 2.0D I4 240 CV AWD Auto - HSE/R-Dynamic HSE","","Gasóleo","M1","2420","","","",""
"Jaguar E-PACE 2.0D I4 240 CV AWD Auto - S/SE/R-Dynamic S/R-Dynamic SE","","Gasóleo","M1","2420","","","",""
"Jaguar F-PACE 2.0 I4 250 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio","","Gasolina","M1","2460","","","",""
"Jaguar F-PACE 2.0 I4 300 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio","","Gasolina","M1","2460","","","",""
"Jaguar F-PACE 2.0 I4 PHEV 404 PS AWD - Standard S/Standard SE/Standard HSE/R-Dynamic S/R-Dynamic SE/R-Dynamic HSE","","Híbridos enchufables","M1","2690","","105.0","53.0","17.1"
"Jaguar F-PACE 2.0D I4 163 CV RWD Manual - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2380","","","",""
"Jaguar F-PACE 2.0D I4 180 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2460","","","",""
"Jaguar F-PACE 2.0D I4 180 CV RWD Auto - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2380","","","",""
"Jaguar F-PACE 2.0D I4 240 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2470","","","",""
"Jaguar F-PACE 3.0D V6 TD 300 CV AWD Auto - Pure/Prestige/R-Sport/S/Portfolio","","Gasóleo","M1","2570","","","",""
"Jaguar F-PACE 5.0 V8 550 CV AWD Auto - SVR","","Gasolina","M1","2550","","","",""
"Jaguar F-TYPE 2.0 I4 221 kW (300 CV) RWD Auto - F-Type/R-Dynamic - Convertible","","Gasolina","M1","1925","","","",""
"Jaguar F-TYPE 2.0 I4 221 kW (300 CV) RWD Auto - F-Type/R-Dynamic - Cupé","","Gasolina","M1","1925","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Auto - F-Type/R-Dynamic - Convertible","","Gasolina","M1","2000","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Auto - F-Type/R-Dynamic - Cupé","","Gasolina","M1","2000","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Manual - F-Type/R-Dynamic - Convertible","","Gasolina","M1","2000","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Manual - F-Type/R-Dynamic - Cupé","","Gasolina","M1","2000","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) AWD Auto - F-Type/R-Dynamic - Convertible","","Gasolina","M1","2150","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) AWD Auto - F-Type/R-Dynamic - Cupé","","Gasolina","M1","2150","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Auto - F-Type/R-Dynamic - Convertible","","Gasolina","M1","2050","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Auto - F-Type/R-Dynamic - Cupé","","Gasolina","M1","2050","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Manual - F-Type/R-Dynamic - Convertible","","Gasolina","M1","2050","","","",""
"Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Manual - F-Type/R-Dynamic - Cupé","","Gasolina","M1","2050","","","",""
"Jaguar F-TYPE 5,0 V8 S/C 405 kW (550 CV) AWD Auto - R - Convertible","","Gasolina","M1","2150","","","",""
"Jaguar F-TYPE 5,0 V8 S/C 423 kW (575 CV) AWD Auto - SVR - Convertible","","Gasolina","M1","2150","","","",""
"Jaguar F-TYPE 5.0 V8 S/C 405 kW (550 CV) AWD Auto - R - Cupé","","Gasolina","M1","2150","","","",""
"Jaguar F-TYPE 5.0 V8 S/C 423 kW (575 CV) AWD Auto - SVR - Cupé","","Gasolina","M1","2150","","","",""
"Jaguar I-PACE 400 CV AWD Auto S/SE/HSE/First Edition - 415 km","","Eléctricos puros","M1","2670","24.8","294.0","415.0","90.0"
"Jaguar I-PACE 400 CV AWD Auto S/SE/HSE/First Edition - 470 km","","Eléctricos puros","M1","2670","22.0","294.0","470.0","90.0"
"Jaguar XE 2.0 I4 200 CV RWD Auto - Pure/Prestige/Portfolio/Landmark Edition","","Gasolina","M1","2150","","","",""
"Jaguar XE 2.0 I4 200 CV RWD Auto - R-Sport","","Gasolina","M1","2150","","","",""
"Jaguar XE 2.0 I4 250 CV RWD Auto - Pure/Prestige/Portfolio/Landmark Edition","","Gasolina","M1","2150","","","",""
"Jaguar XE 2.0 I4 250 CV RWD Auto - R-Sport","","Gasolina","M1","2150","","","",""
"Jaguar XE 2.0 I4 300 CV AWD Auto - Pure/Prestige/Portfolio","","Gasolina","M1","2210","","","",""
"Jaguar XE 2.0 I4 300 CV AWD Auto - R-Sport/300 Sport","","Gasolina","M1","2210","","","",""
"Jaguar XE 2.0D I4 163 CV RWD Auto - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2180","","","",""
"Jaguar XE 2.0D I4 163 CV RWD Manual - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2100","","","",""
"Jaguar XE 2.0D I4 180 CV AWD Auto - Portfolio/Landmark Edition","","Gasóleo","M1","2250","","","",""
"Jaguar XE 2.0D I4 180 CV AWD Auto - Pure/Prestige/R-Sport","","Gasóleo","M1","2250","","","",""
"Jaguar XE 2.0D I4 180 CV RWD Auto - Portfolio/Landmark Edition","","Gasóleo","M1","2180","","","",""
"Jaguar XE 2.0D I4 180 CV RWD Auto - Pure/Prestige/R-Sport","","Gasóleo","M1","2180","","","",""
"Jaguar XE 2.0D I4 180 CV RWD Manual - Portfolio/Landmark Edition","","Gasóleo","M1","2150","","","",""
"Jaguar XE 2.0D I4 180 CV RWD Manual - Pure/Prestige/R-Sport","","Gasóleo","M1","2150","","","",""
"Jaguar XE 2.0D I4 240 CV AWD Auto - Portfolio/Landmark Edition","","Gasóleo","M1","2260","","","",""
"Jaguar XE 2.0D I4 240 CV AWD Auto - Pure/Prestige/R-Sport","","Gasóleo","M1","2260","","","",""
"Jaguar XF 2.0 I4 250 CV RWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio","","Gasolina","M1","2260","","","",""
"Jaguar XF 2.0 I4 250 CV RWD Auto Sportbrake - Pure/Prestige/R-Sport/Portfolio","","Gasolina","M1","2290","","","",""
"Jaguar XF 2.0 I4 300 PS AWD Auto Berlina - 300 Sport","","Gasolina","M1","2260","","","",""
"Jaguar XF 2.0 I4 300 PS AWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio","","Gasolina","M1","2260","","","",""
"Jaguar XF 2.0 I4 300 PS AWD Auto Sportbrake - 300 Sport","","Gasolina","M1","2400","","","",""
"Jaguar XF 2.0 I4 300 PS AWD Auto Sportbrake - Prestige/R-Sport/Portfolio","","Gasolina","M1","2400","","","",""
"Jaguar XF 2.0D I4 163 CV RWD Auto Berlina - Pure/Prestige","","Gasóleo","M1","2230","","","",""
"Jaguar XF 2.0D I4 163 CV RWD Auto Sportbrake - Pure/Prestige","","Gasóleo","M1","2260","","","",""
"Jaguar XF 2.0D I4 163 CV RWD Manual Berlina - Pure/Prestige","","Gasóleo","M1","2190","","","",""
"Jaguar XF 2.0D I4 163 CV RWD Manual Sportbrake - Pure/Prestige","","Gasóleo","M1","2260","","","",""
"Jaguar XF 2.0D I4 180 CV AWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2340","","","",""
"Jaguar XF 2.0D I4 180 CV AWD Auto Sportbrake - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2375","","","",""
"Jaguar XF 2.0D I4 180 CV RWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2295","","","",""
"Jaguar XF 2.0D I4 180 CV RWD Auto Sportbrake - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2320","","","",""
"Jaguar XF 2.0D I4 180 CV RWD Manual Berlina - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2270","","","",""
"Jaguar XF 2.0D I4 240 CV AWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio","","Gasóleo","M1","2370","","","",""
"Jaguar XF 2.0D I4 240 CV AWD Auto Sportbrake - Prestige/R-Sport/Portfolio","","Gasóleo","M1","2395","","","",""
"Jaguar XF 3.0D TDV6 300 CV RWD Auto Berlina - 300 Sport/S","","Gasóleo","M1","2390","","","",""
"Jaguar XF 3.0D TDV6 300 CV RWD Auto Berlina - Prestige/R-Sport/Portfolio","","Gasóleo","M1","2390","","","",""
"Jaguar XF 3.0D TDV6 300 CV RWD Auto Sportbrake - 300 Sport/S","","Gasóleo","M1","2430","","","",""
"Jaguar XF 3.0D TDV6 300 CV RWD Auto Sportbrake - Portfolio","","Gasóleo","M1","2430","","","",""
"Jaguar XJ 3.0 V6 DIESEL 300 CV LWB - PORTFOLIO/AUTOBIOGRAPHY","","Gasóleo","M1","2450","","","",""
"Jaguar XJ 3.0 V6 DIESEL 300 CV SWB - LUXURY/PREMIUM LUXURY/PORTFOLIO/R-SPORT/XJ50","","Gasóleo","M1","2400","","","",""
