"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"MAN eTGE 3.140 4x2F","","Eléctricos puros","N1","3500","21.5","100.0","173.0","35.8"
"MAN eTGE 3.140 4x2F  SB","","Eléctricos puros","N1","3500","21.5","100.0","174.0","35.8"
"MAN eTGE 3.140 4x2F 1.0","","Eléctricos puros","N1","3500","28.0","100.0","115.0","35.8"
"MAN eTGE 3.140 4x2F SB","","Eléctricos puros","N1","3500","28.0","100.0","115.0","35.8"
"MAN eTGE 3.140 4x2F SB 1.0","","Eléctricos puros","N1","3500","21.5","100.0","173.0","35.8"
"MAN HOC - Magnus E + A69 LE Gas Natural","","Gas natural","M3","19500","","","",""
"MAN LIONS City 12E FULL ELECTRIC","","Eléctricos puros","M3","19500","72.8","160.0","424.0","480.0"
"MAN LIONS City 12G 280 Gas Natural","","Gas natural","M3","19500","","","",""
"MAN LIONS City 12G 320 Gas Natural","","Gas natural","M3","19500","","","",""
"MAN LIONS City 18E FULL ELECTRIC","","Eléctricos puros","M3","30000","108.3","270.0","471.0","640.0"
"MAN LIONS City 18G Gas Natural","","Gas natural","M3","30000","","","",""
"MAN LIONS City 19G Gas Natural","","Gas natural","M3","30000","","","",""
"MAN Lions City Chassis - City versus MAN A22A Gas Natural","","Gas natural","M3","19500","","","",""
