"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Mercedes-Benz CITAN Citan 108 CDI Furgón Manual","","Gasóleo","N1","2021","","","",""
"Mercedes-Benz CITAN Citan 110 CDI Furgón Automático","","Gasóleo","N1","2054","","","",""
"Mercedes-Benz CITAN Citan 110 CDI Furgón Largo Automático","","Gasóleo","N1","2324","","","",""
"Mercedes-Benz CITAN Citan 110 CDI Furgón Largo Manual","","Gasóleo","N1","2324","","","",""
"Mercedes-Benz CITAN Citan 110 CDI Furgón Manual","","Gasóleo","N1","2021","","","",""
"Mercedes-Benz CITAN Citan 110 CDI Tourer Automático","","Gasóleo","M1","2199","","","",""
"Mercedes-Benz CITAN Citan 110 CDI Tourer Manual","","Gasóleo","M1","2174","","","",""
"Mercedes-Benz CITAN Citan 110 Furgón","","Gasolina","N1","1973","","","",""
"Mercedes-Benz CITAN Citan 110 Tourer","","Gasolina","M1","2095","","","",""
"Mercedes-Benz CITAN Citan 112 CDI Furgón Automático","","Gasóleo","N1","2054","","","",""
"Mercedes-Benz CITAN Citan 112 CDI Furgón Largo Automático","","Gasóleo","N1","2324","","","",""
"Mercedes-Benz CITAN Citan 112 CDI Furgón Largo Manual","","Gasóleo","N1","2324","","","",""
"Mercedes-Benz CITAN Citan 112 CDI Furgón Manual","","Gasóleo","N1","2021","","","",""
"Mercedes-Benz CITAN Citan 112 CDI Tourer Automático","","Gasóleo","M1","2199","","","",""
"Mercedes-Benz CITAN Citan 112 CDI Tourer Manual","","Gasóleo","M1","2176","","","",""
"Mercedes-Benz CITAN Citan 113 Furgón Automático","","Gasolina","N1","2220","","","",""
"Mercedes-Benz CITAN Citan 113 Furgón Largo Automático","","Gasolina","N1","2324","","","",""
"Mercedes-Benz CITAN Citan 113 Furgón Largo Manual","","Gasolina","N1","2324","","","",""
"Mercedes-Benz CITAN Citan 113 Furgón Manual","","Gasolina","N1","1973","","","",""
"Mercedes-Benz CITAN Citan 113 Tourer","","Gasolina","M1","2368","","","",""
"Mercedes-Benz CITAN Citan 113 Tourer","","Gasolina","M1","2368","","","",""
"Mercedes-Benz CITAN Citan 113 Tourer Automático","","Gasolina","M1","2118","","","",""
"Mercedes-Benz CITAN Citan 113 Tourer Manual","","Gasolina","M1","2095","","","",""
"Mercedes-Benz CLA Coupé (C118) 180","","Híbridos de gasolina","M1","1995","","10.0","",""
"Mercedes-Benz CLA Coupé (C118) 200","","Híbridos de gasolina","M1","1995","","10.0","",""
"Mercedes-Benz CLA Coupé (C118) 200 d","","Gasóleo","M1","2085","","","",""
"Mercedes-Benz CLA Coupé (C118) 220 d","","Gasóleo","M1","2100","","","",""
"Mercedes-Benz CLA Coupé (C118) 250 4MATIC","","Híbridos de gasolina","M1","2120","","10.0","",""
"Mercedes-Benz CLA Coupé (C118) 250 e","","Híbridos enchufables","M1","2215","18.6","80.0","69.0","15.6"
"Mercedes-Benz CLA Coupé (C118) 35 4MATIC","","Híbridos de gasolina","M1","2155","","10.0","",""
"Mercedes-Benz CLA Coupé (C118) 45 S 4MATIC+","","Gasolina","M1","2175","","","",""
"Mercedes-Benz CLA Shooting Brake (X118) 180","","Híbridos de gasolina","M1","2050","","10.0","",""
"Mercedes-Benz CLA Shooting Brake (X118) 200","","Híbridos de gasolina","M1","2050","","10.0","",""
"Mercedes-Benz CLA Shooting Brake (X118) 200 d","","Gasóleo","M1","2140","","","",""
"Mercedes-Benz CLA Shooting Brake (X118) 220 d","","Gasóleo","M1","2155","","","",""
"Mercedes-Benz CLA Shooting Brake (X118) 250 4MATIC","","Híbridos de gasolina","M1","2175","","10.0","",""
"Mercedes-Benz CLA Shooting Brake (X118) 250 e","","Híbridos enchufables","M1","2270","19.0","80.0","67.0","15.6"
"Mercedes-Benz CLA Shooting Brake (X118) 35 4MATIC","","Híbridos de gasolina","M1","2195","","10.0","",""
"Mercedes-Benz CLA Shooting Brake (X118) 45 S 4MATIC+","","Gasolina","M1","2205","","","",""
"Mercedes-Benz Clase A Berlina (V177) 180","","Híbridos de gasolina","M1","1940","","10.0","",""
"Mercedes-Benz Clase A Berlina (V177) 180 d","","Gasóleo","M1","2030","","","",""
"Mercedes-Benz Clase A Berlina (V177) 200","","Híbridos de gasolina","M1","1940","","10.0","",""
"Mercedes-Benz Clase A Berlina (V177) 200 d","","Gasóleo","M1","2030","","","",""
"Mercedes-Benz Clase A Berlina (V177) 250 e","","Híbridos enchufables","M1","2180","18.4","80.0","70.0","15.6"
"Mercedes-Benz Clase A Berlina (V177) 35 4MATIC","","Híbridos de gasolina","M1","2130","","10.0","",""
"Mercedes-Benz Clase A Compacto (W177) 180","","Híbridos de gasolina","M1","1920","","10.0","",""
"Mercedes-Benz Clase A Compacto (W177) 180 d","","Gasóleo","M1","2010","","","",""
"Mercedes-Benz Clase A Compacto (W177) 200","","Híbridos de gasolina","M1","1920","","10.0","",""
"Mercedes-Benz Clase A Compacto (W177) 200 d","","Gasóleo","M1","2010","","","",""
"Mercedes-Benz Clase A Compacto (W177) 220 d","","Gasóleo","M1","2040","","","",""
"Mercedes-Benz Clase A Compacto (W177) 250 4MATIC","","Híbridos de gasolina","M1","2060","","10.0","",""
"Mercedes-Benz Clase A Compacto (W177) 250 e","","Híbridos enchufables","M1","2170","18.7","80.0","68.0","15.6"
"Mercedes-Benz Clase A Compacto (W177) 35 4MATIC","","Híbridos de gasolina","M1","2120","","10.0","",""
"Mercedes-Benz Clase A Compacto (W177) 45 S 4MATIC+","","Gasolina","M1","2130","","","",""
"Mercedes-Benz Clase B (W247) 180","","Híbridos de gasolina","M1","2000","","10.0","",""
"Mercedes-Benz Clase B (W247) 180 d","","Gasóleo","M1","2090","","","",""
"Mercedes-Benz Clase B (W247) 200","","Híbridos de gasolina","M1","2000","","10.0","",""
"Mercedes-Benz Clase B (W247) 200 d","","Gasóleo","M1","2090","","","",""
"Mercedes-Benz Clase B (W247) 220 d","","Gasóleo","M1","2120","","","",""
"Mercedes-Benz Clase B (W247) 250 e","","Híbridos enchufables","M1","2240","19.2","80.0","65.0","15.6"
"Mercedes-Benz Clase C Berlina (W206) 180","","Híbridos de gasolina","M1","2250","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 200","","Híbridos de gasolina","M1","2265","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 200 d","","Híbridos de gasóleo","M1","2350","","17.0","",""
