"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Mitsubishi ASX 130T MHEV 7DCT Kaiteki","","Gasolina","M1","1834","","","",""
"Mitsubishi ASX 130T MHEV Kaiteki","","Gasolina","M1","1799","","","",""
"Mitsubishi ASX 130T MHEV Motion","","Gasolina","M1","1799","","","",""
"Mitsubishi ASX 160 HEV Kaiteki","","Híbridos de gasolina","M1","1896","","","",""
"Mitsubishi ASX 160 PHEV Kaiteki","","Híbridos enchufables","M1","2060","13.2","74.0","49.0","11.0"
"Mitsubishi ASX 160 PHEV Kaiteki+","","Híbridos enchufables","M1","2060","13.2","74.0","49.0","11.0"
"Mitsubishi Colt 100 MPI MOTION","","Gasolina","M1","1530","","","",""
"Mitsubishi Colt 100T Kaiteki","","Gasolina","M1","1600","","","",""
"Mitsubishi Colt 100T Motion","","Gasolina","N1","1570","","","",""
"Mitsubishi Colt 160 HEV Kaiteki","","Híbridos de gasolina","M1","1765","","51.0","",""
"Mitsubishi Colt 160 HEV Kaiteki+","","Híbridos de gasolina","M1","2950","","51.0","",""
"Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV KAITEKI 4WD","","Híbridos enchufables","M1","2425","19.3","130.0","45.0","14.0"
"Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV KAITEKI+ 4WD","","Híbridos enchufables","M1","2425","19.3","130.0","45.0","14.0"
"Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV Motion 4WD","","Híbridos enchufables","M1","2425","19.3","130.0","45.0","14.0"
"Mitsubishi L200 C/C 220 DI-D M-PRO MY20","","Gasóleo","N1","2920","","","",""
"Mitsubishi L200 D/C 220 DI-D 6AT Kaiteky MY20","","Gasóleo","N1","3110","","","",""
"Mitsubishi L200 D/C 220 DI-D 6AT M-PRO MY20","","Gasóleo","N1","3010","","","",""
"Mitsubishi L200 D/C 220 DI-D 6AT Motion MY20","","Gasóleo","N1","3110","","","",""
"Mitsubishi L200 D/C 220 DI-D M-PRO MY20","","Gasóleo","N1","3010","","","",""
"Mitsubishi Outlander PHEV","","Híbridos enchufables","M1","3970","14.8","130.0","45.0","38.0"
"Mitsubishi SPACE STAR 120 MPI CVT Kaiteki","","Gasolina","M1","1370","","","",""
"Mitsubishi SPACE STAR 120 MPI Kaiteki","","Gasolina","M1","1340","","","",""
"Mitsubishi SPACE STAR 120 MPI Motion","","Gasolina","M1","1340","","","",""
"Mitsubishi SPACE STAR 120 MPI Spirit","","Gasolina","M1","1340","","","",""
