"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Opel  Astra 5P (MY20.0) Astra 1.2T SHL MT6 S/S 110 CV (81kW)","","Gasolina","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) Astra 1.5D DVC MT6 S/S 105 CV (77kW)","","Gasóleo","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) Elegance 1.2T SHR MT6 S/S 145 CV (107kW)","","Gasolina","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) Elegance 1.4T SHT CVT S/S 145 CV (107kW)","","Gasolina","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) Elegance 1.5D DVH AT9 S/S 122 CV (90kW)","","Gasóleo","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) Elegance 1.5D DVH MT6 S/S 122 CV (90kW)","","Gasóleo","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) GS Line 1.2T SHL MT6 S/S 110 CV (81kW)","","Gasolina","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) GS Line 1.2T SHT MT6 S/S 130 CV (96kW)","","Gasolina","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) GS Line 1.5D DVC MT6 S/S 105 CV (77kW)","","Gasóleo","M1","1805","","","",""
"Opel  Astra 5P (MY20.0) GS Line 1.5D DVH MT6 S/S 122 CV (90kW)","","Gasóleo","M1","1805","","","",""
"Opel Astra 5P (MY19.5) 120 ANIVERSARIO 1,0 Turbo S/S 105 cv 5V MY","","Gasolina","M1","1780","","","",""
"Opel Astra 5P (MY19.5) 120 ANIVERSARIO 1,4 Turbo 125 cv 6V MY 19,5","","Gasolina","M1","1820","","","",""
"Opel Astra 5P (MY19.5) 120 ANIVERSARIO 1,6 CDTi S/S 110 cv 6V MY 19,5","","Gasóleo","M1","1890","","","",""
"Opel Astra 5P (MY19.5) DYNAMIC 1,4 Turbo 125 cv 6V MY 19,5","","Gasolina","M1","1820","","","",""
"Opel Astra 5P (MY19.5) DYNAMIC 1,4 Turbo 150 cv 6V MY 19,5","","Gasolina","M1","1820","","","",""
