"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Porsche 718 Boxster Cabrio, automático","","Gasolina","M1","1685","","","",""
"Porsche 718 Boxster Cabrio, manual","","Gasolina","M1","1655","","","",""
"Porsche 718 Boxster GTS 4.0 Cabrio, automático","","Gasolina","M1","1730","","","",""
"Porsche 718 Boxster GTS 4.0 Cabrio, manual","","Gasolina","M1","1700","","","",""
"Porsche 718 Boxster S Cabrio, automático","","Gasolina","M1","1695","","","",""
"Porsche 718 Boxster S Cabrio, manual","","Gasolina","M1","1665","","","",""
"Porsche 718 Boxster Spyder Cabrio, automático","","Gasolina","M1","1720","","","",""
"Porsche 718 Boxster Spyder Cabrio, manual","","Gasolina","M1","1720","","","",""
"Porsche 718 Boxster T Cabrio, automático","","Gasolina","M1","1685","","","",""
"Porsche 718 Boxster T Cabrio, manual","","Gasolina","M1","1655","","","",""
"Porsche 718 Cayman Coupé, automático","","Gasolina","M1","1685","","","",""
"Porsche 718 Cayman Coupé, manual","","Gasolina","M1","1655","","","",""
"Porsche 718 Cayman GT4 Coupé, automático","","Gasolina","M1","1780","","","",""
"Porsche 718 Cayman GT4 RS (AM2024.5) Coupé, automático, RWD","","Gasolina","M1","1771","","","",""
"Porsche 718 Cayman GT4 RS Coupé, automático, RWD","","Gasolina","M1","1771","","","",""
"Porsche 718 Cayman S Coupé, automático","","Gasolina","M1","1695","","","",""
"Porsche 718 Cayman S Coupé, manual","","Gasolina","M1","1665","","","",""
"Porsche 718 Cayman T Coupé, automático","","Gasolina","M1","1685","","","",""
"Porsche 718 Cayman T Coupé, manual","","Gasolina","M1","1655","","","",""
"Porsche 718 Spyder RS (AM2024.5) Cabriolet, 2 plazas","","Gasolina","M1","1755","","","",""
"Porsche 718 Spyder RS (AM2024) Cabriolet, 2 plazas","","Gasolina","M1","1755","","","",""
"Porsche 718 Spyder RS Cabriolet,2 plazas","","Gasolina","M1","1750","","","",""
"Porsche 911 Carrera  Cabrio","","Gasolina","M1","2015","","","",""
"Porsche 911 Carrera  Coupé","","Gasolina","M1","1960","","","",""
"Porsche 911 Carrera 4 Cabrio","","Gasolina","M1","2040","","","",""
"Porsche 911 Carrera 4 Coupé","","Gasolina","M1","1985","","","",""
"Porsche 911 Carrera 4 GTS Cabrio, automático","","Gasolina","M1","2065","","","",""
"Porsche 911 Carrera 4 GTS Cabrio, manual","","Gasolina","M1","2035","","","",""
"Porsche 911 Carrera 4 GTS Coupé, automático","","Gasolina","M1","2010","","","",""
"Porsche 911 Carrera 4 GTS Coupé, manual","","Gasolina","M1","1980","","","",""
"Porsche 911 Carrera 4S Cabrio, auto.","","Gasolina","M1","2065","","","",""
"Porsche 911 Carrera 4S Cabrio, man.","","Gasolina","M1","2035","","","",""
"Porsche 911 Carrera 4S Coupé, auto.","","Gasolina","M1","2010","","","",""
"Porsche 911 Carrera 4S Coupé, man.","","Gasolina","M1","1980","","","",""
"Porsche 911 Carrera GTS Cabrio, automático","","Gasolina","M1","2040","","","",""
"Porsche 911 Carrera GTS Cabrio, manual","","Gasolina","M1","2010","","","",""
"Porsche 911 Carrera GTS Coupé, automático","","Gasolina","M1","1985","","","",""
"Porsche 911 Carrera GTS Coupé, manual","","Gasolina","M1","1955","","","",""
"Porsche 911 Carrera S Cabrio, auto.","","Gasolina","M1","2040","","","",""
"Porsche 911 Carrera S Cabrio, man.","","Gasolina","M1","2010","","","",""
"Porsche 911 Carrera S Coupé, auto.","","Gasolina","M1","1985","","","",""
"Porsche 911 Carrera S Coupé, man.","","Gasolina","M1","1955","","","",""
"Porsche 911 Carrera T Automático","","Gasolina","M1","1880","","","",""
"Porsche 911 Carrera T Automático","","Gasolina","M1","1960","","","",""
"Porsche 911 Carrera T Manual","","Gasolina","M1","1850","","","",""
"Porsche 911 Carrera T Manual","","Gasolina","M1","1930","","","",""
"Porsche 911 Dakar Coupé (2 plazas)","","Gasolina","M1","1960","","","",""
"Porsche 911 GT3 Automático","","Gasolina","M1","1782","","","",""
"Porsche 911 GT3 Manual","","Gasolina","M1","1765","","","",""
"Porsche 911 GT3 RS (AM2024.5) Coupé, 2 plazas","","Gasolina","M1","1795","","","",""
"Porsche 911 GT3 RS Coupé (2 plazas)","","Gasolina","M1","1795","","","",""
"Porsche 911 S/T Coupé, 2 plazas","","Gasolina","M1","1695","","","",""
"Porsche 911 Sport Classic Coupé (2 plazas)","","Gasolina","M1","1955","","","",""
"Porsche 911 Sport Classic Coupé (4 plazas)","","Gasolina","M1","1955","","","",""
"Porsche 911 Targa 4 Cabrio","","Gasolina","M1","2060","","","",""
"Porsche 911 Targa 4 GTS Cabrio, automático","","Gasolina","M1","2085","","","",""
"Porsche 911 Targa 4 GTS Cabrio, manual","","Gasolina","M1","2055","","","",""
"Porsche 911 Targa 4S Cabrio, automático","","Gasolina","M1","2085","","","",""
"Porsche 911 Targa 4S Cabrio, manual","","Gasolina","M1","2055","","","",""
"Porsche 911 Turbo Cabrio","","Gasolina","M1","2100","","","",""
"Porsche 911 Turbo Coupé","","Gasolina","M1","2040","","","",""
"Porsche 911 Turbo S Cabrio","","Gasolina","M1","2080","","","",""
"Porsche 911 Turbo S Coupé","","Gasolina","M1","2020","","","",""
"Porsche Cayenne Coupé, 4 plazas","","Gasolina","M1","2820","","","",""
"Porsche Cayenne Coupé, 4 plzs.","","Gasolina","M1","2820","","","",""
"Porsche Cayenne Coupé, 5 plazas","","Gasolina","M1","2820","","","",""
"Porsche Cayenne Coupé, 5 plzs.","","Gasolina","M1","2820","","","",""
"Porsche Cayenne E-Hybrid Coupé, 4 plzs.","","Híbridos de gasolina","M1","3055","27.7","130.0","79.0","25.9"
"Porsche Cayenne E-Hybrid Coupé, 5 plzs.","","Híbridos de gasolina","M1","3055","27.7","130.0","79.0","25.9"
"Porsche Cayenne E-Hybrid SUV","","Híbridos de gasolina","M1","3030","27.7","130.0","79.0","25.9"
"Porsche Cayenne S Coupé, 4 plzs.","","Gasolina","M1","2910","","","",""
"Porsche Cayenne S Coupé, 5 plzs.","","Gasolina","M1","2910","","","",""
"Porsche Cayenne S E-Hybrid (Autonom.+), 4 plazas Coupé","","Híbridos de gasolina","M1","3135","30.0","130.0","82.0","25.9"
"Porsche Cayenne S E-Hybrid (Autonom.+), 5 plazas Coupé","","Híbridos de gasolina","M1","3135","30.0","130.0","82.0","25.9"
"Porsche Cayenne S E-Hybrid 4 plazas Coupé","","Híbridos de gasolina","M1","3135","31.7","130.0","75.0","25.9"
"Porsche Cayenne S E-Hybrid SUV","","Híbridos de gasolina","M1","3135","31.7","130.0","75.0","25.9"
"Porsche Cayenne S E-Hybrid, (Autonom.+) SUV","","Híbridos de gasolina","M1","3135","30.0","130.0","82.0","25.9"
"Porsche Cayenne S E-Hybrid, 5 plazas Coupé","","Híbridos de gasolina","M1","3135","31.7","130.0","75.0","25.9"
"Porsche Cayenne S SUV","","Gasolina","M1","2930","","","",""
"Porsche Cayenne SUV","","Gasolina","M1","2830","","","",""
"Porsche Cayenne SUV (AM24) IP00","","Gasolina","M1","2835","","","",""
"Porsche Cayenne SUV (AM24) IP01","","Gasolina","M1","2835","","","",""
"Porsche Cayenne Turbo E-Hybrid (Autonom.+) SUV","","Híbridos de gasolina","M1","3215","29.1","130.0","76.0","25.9"
"Porsche Cayenne Turbo E-Hybrid SUV","","Híbridos de gasolina","M1","3215","30.4","130.0","71.0","25.9"
"Porsche Cayenne Turbo E-Hybrid, 4 plazas Coupé","","Híbridos de gasolina","M1","3195","30.4","130.0","71.0","25.9"
"Porsche Cayenne Turbo E-Hybrid, 5 plazas Coupé","","Híbridos de gasolina","M1","3195","29.1","130.0","76.0","25.9"
"Porsche Macan Automático","","Gasolina","M1","2510","","","",""
"Porsche Macan GTS Automático","","Gasolina","M1","2580","","","",""
"Porsche Macan S Automático","","Gasolina","M1","2580","","","",""
"Porsche Macan T Automático","","Gasolina","M1","2510","","","",""
"Porsche Panamera 4 Berlina","","Gasolina","M1","2460","","","",""
"Porsche Panamera 4 E-Hybrid Berlina, AWD (4 o 5 plazas), SWB","","Híbridos de gasolina","M1","2825","27.8","140.0","79.0","25.9"
