"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Renault Arkana (JL1) E-TECH full hybrid 105 kW (145CV) (semi: ESLVMUHH26UY)","","Híbridos de gasolina","M1","1961","","36.0","",""
"Renault Arkana (JL1) E-TECH full hybrid 105 kW (145CV) (semi:E2 MUHH26UY, E3CMUHH26UY, ESLCMUHH26UY)","","Híbridos de gasolina","M1","1961","","36.0","",""
"Renault Arkana (JL1) E-TECH full hybrid 105 kW(145CV)(semi:E3 MUHH 6UY,ESL MUHH 6UY,E2 MUHH 6UY,E3CMUHH 6UY,ESLCMUHH 6UY)","","Híbridos de gasolina","M1","1961","","36.0","","1.2"
"Renault Arkana (JL1) MY2022 E-TECH full hybrid 105 kW (145CV) (semi: M2 MUHH 6UY, M3 MUHH 6UY, MT MUH6U HY, MTVMUH6U HY)","","Híbridos de gasolina","M1","1961","","36.0","","5.0"
"Renault Arkana (JL1) MY2022 TCe 103 kW (140CV) EDC mild hybrid (semi: M2 N0A6U HS, M3 N0A6U HS, MSL N0A6U HS)","","Híbridos de gasolina","M1","1876","","3.6","","10.0"
"Renault Arkana (JL1) MY2022 TCe 116 kW (160CV) EDC mild hybrid (semi: MSL N1A6U HS)","","Híbridos de gasolina","M1","1876","","3.6","","10.0"
"Renault Arkana (JL1) TCe 103 kW (140CV) EDC mild hybrid (semi: E2 N0A6U HS, E3 N0A6UH S, ESL N0A6U HS)","","Híbridos de gasolina","M1","1876","","3.6","",""
"Renault Arkana (JL1) TCe 103 kW (140CV) EDC mild hybrid (semi: E3CN0A6UH S, ESLCN0A6U HS)","","Híbridos de gasolina","M1","1876","","3.6","",""
"Renault Arkana (JL1) TCe 116 kW (160CV) EDC mild hybrid (semi: ESLCN1A6U HS , ESL N1A6U HS)","","Híbridos de gasolina","M1","1876","","3.6","",""
"Renault Austral (HN1) E-Tech híbrido 117kW (160CV) (semi: EA3 M56W2HY)","","Híbridos de gasolina","M1","2101","","25.0","","1.7"
"Renault Austral (HN1) E-Tech híbrido 146kW (200CV) (semi: EA3 M26W2HY, ESL3 M26W2HY, EA4 M26W2HY, ESL4 M26W2HY)","","Híbridos de gasolina","M1","2101","","50.0","","1.7"
"Renault Austral (HN1) MY2023 E-Tech híbrido 146kW (200CV) (semi: BU2VM26W2HY EA3VM26W2HY ESV3M26W2HY EA4VM26W2HY ESV4M26W2HY)","","Híbridos de gasolina","M1","2101","","50.0","","2.0"
"Renault Austral (HN1) MY2023 TCe 103 kW (140CV) mild hybrid (semi: BU2VMF6U 2MS EA3VMF6U 2MS)","","Híbridos de gasolina","M1","1947","","3.6","","0.2"
