"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) DSG Star&Stop STYLE con 7 plazas MY22","","Gasolina","M1","2480","","","",""
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) DSG Star&Stop XCELLENCE con 7 plazas MY22","","Gasolina","M1","2480","","","",""
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) Star&Stop STYLE con 7 plazas MY22","","Gasolina","M1","2450","","","",""
"SEAT ALHAMBRA 1.4 TSI 110kW (150CV) Star&Stop STYLE GO con 7 plazas MY22","","Gasolina","M1","2450","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S REFERENCE MY19","","Gasolina","M1","2410","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S REFERENCE TRAVEL ED MY19","","Gasolina","M1","2410","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE DSG MY19","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE MY19","","Gasolina","M1","2410","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE TRAVEL ED DSG MY19","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S STYLE TRAVEL EDITION MY19","","Gasolina","M1","2410","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S XCELLENCE DSG MY19","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 110KW S/S XCELLENCE TRAV ED DSG MY19","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop STYLE con 7 plazas s48","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop STYLE Travel Edition con 7 plazas s48","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop XCELLENCE con 7 plazas s48","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) DSG Start&Stop XCELLENCE Travel Edition con 7 plazas s48","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) Start&Stop STYLE con 7 plazas s48","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 1.4 TSI 150 CV (110 Kw) Start&Stop STYLE Travel Edition con 7 plazas s48","","Gasolina","M1","2430","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW ECO S/S REF TRAVEL EDITION MY19","","Gasóleo","M1","2520","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW ECO S/S STYLE TRAVEL ED MY19","","Gasóleo","M1","2520","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW ECO S/S XCELLENCE MY19","","Gasóleo","M1","2520","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW ECO S/S XCELLENCE TRAV ED MY19","","Gasóleo","M1","2520","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW ECOMOTIVE S/S REFERENCE MY19","","Gasóleo","M1","2520","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW ECOMOTIVE S/S STYLE MY19","","Gasóleo","M1","2520","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW S/S STYLE DSG MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW S/S STYLE TRAVEL ED DSG MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW S/S XCELLENCE DSG MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 110KW S/S XCELLENCE TRAV ED DSG MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 130KW S/S XCEL TRAV ED DSG 4WD MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 130KW S/S XCELLENCE DSG 4WD MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 130KW S/S XCELLENCE DSG MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI 130KW S/S XCELLENCE TRAV ED DSG MY19","","Gasóleo","M1","2540","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop STYLE","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop STYLE s48","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop STYLE Travel Edition","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop STYLE Travel Edition s48","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop XCELLENCE","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop XCELLENCE s48","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop XCELLENCE Travel Edition","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) DSG Start&Stop XCELLENCE Travel Edition s48","","Gasóleo","M1","2410","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop STYLE","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop STYLE s48","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop STYLE Travel Edition","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop STYLE Travel Edition s48","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop XCELLENCE","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop XCELLENCE s48","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop XCELLENCE Travel Edition","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 150 CV (110 Kw) Ecomotive Start&Stop XCELLENCE Travel Edition s48","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV (130 Kw) DSG Start&Stop XCELLENCE","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV (130 Kw) DSG Start&Stop XCELLENCE s48","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV (130 Kw) DSG Start&Stop XCELLENCE Travel Edition","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV (130 Kw) DSG Start&Stop XCELLENCE Travel Edition s48","","Gasóleo","M1","2390","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV 4Drive (130 Kw) DSG Start&Stop XCELLENCE","","Gasóleo","M1","2560","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV 4Drive (130 Kw) DSG Start&Stop XCELLENCE s48","","Gasóleo","M1","2560","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV 4Drive (130 Kw) DSG Start&Stop XCELLENCE Travel Edition 4Drive","","Gasóleo","M1","2560","","","",""
"SEAT ALHAMBRA 2.0 TDI CR 177CV 4Drive (130 Kw) DSG Start&Stop XCELLENCE Travel Edition 4Drive s48","","Gasóleo","M1","2560","","","",""
"SEAT Arona 1.0 TGI 66KW FR EDITION MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 66KW FR MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 66KW REFERENCE EDITION MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 66KW STYLE EDITION MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 66KW STYLE MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 66KW XCELLENCE EDITION MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 66KW XCELLENCE MY19","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR EDITION GNC","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR EDITION GNC s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR GO2 GNC","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR PLUS GNC MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR XL GNC","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR XL GNC Edition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR XM","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp FR XM Edition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp REFERENCE","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp REFERENCE EDITION","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp REFERENCE EDITION s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp REFERENCE MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp REFERENCE XM","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp REFERENCE XM Edition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Style","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Style EDITION","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Style EDITION s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE GO Navi","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE GO2 GNC","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE MY 21","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE PLUS GNC MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Style s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE XL GNC","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE XLEdition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE XM","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp STYLE XM Edition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp X-PERIENCE MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp X-PERIENCE PLUS GNC MY22","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XCELLENCE","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Xcellence","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Xcellence EDITION GNC","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Xcellence EDITION GNC s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XCELLENCE GO2 GNC","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp Xcellence s48","","Gas natural","M1","1710","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XPERIENCE XL GNC","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XPERIENCE XM","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XPERIENCE XM Edition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XPERIENCE XS","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TGI 90CV St&Sp XPERIENCE XS Edition","","Gas natural","M1","1720","","","",""
"SEAT Arona 1.0 TSI (115CV St&Sp XPERIENCE XS MY24","","Gasolina","M1","1720","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR Ecomotive","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR GO Ecomotive","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR GO2","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR MY22","","Gasolina","M1","1740","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR PLUS MY22","","Gasolina","M1","1740","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR XL","","Gasolina","M1","1750","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR XL Edition","","Gasolina","M1","1750","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR XL MY24","","Gasolina","M1","1750","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR XM","","Gasolina","M1","1750","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR XM Edition","","Gasolina","M1","1750","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp FR XM MY24","","Gasolina","M1","1750","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp STYLE","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp STYLE Ecomotive","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp STYLE GO Ecomotive","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp STYLE GO Navi Ecomotive","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp STYLE GO2","","Gasolina","M1","1730","","","",""
"SEAT Arona 1.0 TSI 110CV DSG-7 St&Sp STYLE MY22","","Gasolina","M1","1740","","","",""
