"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SKODA  FABIA COMBI MY19 1,0 MPI 55 kW (75 CV) Manual 5 vel.","","Gasolina","M1","2361","","","",""
"SKODA  FABIA COMBI MY19 1,0 TSI 70 kW (95 CV) Manual 5 vel.","","Gasolina","M1","2596","","","",""
"SKODA  FABIA COMBI MY19 1,0 TSI 81 kW (110 CV) DSG 7 vel.","","Gasolina","M1","2740","","","",""
"SKODA  FABIA COMBI MY19 1.0 TSI 81kW (110 CV) Manual 6 vel.","","Gasolina","M1","2707","","","",""
"SKODA CITIGO IV MY20 Bateria 36,8 kWh 61kW (83CV) Automatico 1 vel","","Eléctricos puros","M1","790","12.9","61.0","253.0","61.0"
"SKODA CITIGO IV MY21 Bateria 36,8 kWh 61kW (83CV) Automatico 1 vel","","Eléctricos puros","M1","790","12.9","61.0","253.0","61.0"
"SKODA CITIGO MY19 1,0 MPI 44 kW (60 CV) Manual 5 vel. 3p","","Gasolina","M1","1290","","","",""
"SKODA CITIGO MY19 1,0 MPI 44 kW (60 CV) Manual 5 vel. 5p","","Gasolina","M1","1290","","","",""
"SKODA CITIGO MY19 1,0 MPI 55 kW (75 CV) Manual 5 vel. 3p","","Gasolina","M1","1290","","","",""
"SKODA CITIGO MY19 1,0 MPI 55 kW (75 CV) Manual 5 vel. 5p","","Gasolina","M1","1290","","","",""
"SKODA ENYAQ COUPÉ IV MY23 80 - 4x4 195 kW (265 CV) 82 kWh (77 kwh neta) (MTMA 2750)","","Eléctricos puros","M1","2750","17.4","195.0","528.0","77.0"
"SKODA ENYAQ COUPÉ IV MY23 80 150 kW (204 CV) 82 kWh (77 kwh neta) (MTMA 2600)","","Eléctricos puros","M1","2600","16.6","150.0","552.0","77.0"
"SKODA ENYAQ COUPÉ IV MY23 80 150 kW (204 CV) 82 kWh (77 kwh neta) (MTMA 2649)","","Eléctricos puros","M1","2649","16.6","150.0","552.0","77.0"
"SKODA ENYAQ COUPÉ IV MY23 RS 220 kW (300 CV) 82 kWh (77 kwh neta) (MTMA 2750)","","Eléctricos puros","M1","2750","17.5","220.0","523.0","77.0"
"SKODA ENYAQ COUPÉ IV MY23 Sportline 80 150 kW (204 CV) 82 kWh (77 kwh neta) (MTMA 2600)","","Eléctricos puros","M1","2600","16.6","150.0","552.0","77.0"
"SKODA ENYAQ COUPÉ IV MY23 Sportline 80 150 kW (204 CV) 82 kWh (77 kwh neta) (MTMA 2649)","","Eléctricos puros","M1","2649","16.6","150.0","552.0","77.0"
"SKODA ENYAQ COUPÉ MY24 60 132 kW (180 CV) 60 kWh (58 kwh neta) (MTMA 2510)","","Eléctricos puros","M1","2510","15.7","132.0","408.0","58.0"
"SKODA ENYAQ COUPÉ MY24 85 - 4x4 210 kW (286 CV) 82 kWh (77 kwh neta) (MTMA 2750)","","Eléctricos puros","M1","2750","15.7","210.0","545.0","77.0"
"SKODA ENYAQ COUPÉ MY24 85 210 kW (286 CV) 82 kWh (77 kwh neta) (MTMA 2650)","","Eléctricos puros","M1","2650","14.6","210.0","573.0","77.0"
"SKODA ENYAQ COUPÉ MY24 RS 250 kW (341 CV) 82 kWh (77 kwh neta) (MTMA 2750)","","Eléctricos puros","M1","2750","15.7","250.0","547.0","77.0"
"SKODA ENYAQ COUPÉ MY24 Sportline 85 210 kW (286 CV) 82 kWh (77 kwh neta) (MTMA 2650)","","Eléctricos puros","M1","2650","15.0","210.0","561.0","77.0"
"SKODA ENYAQ iV MY21 60 Bateria 58,3 kWh Electromotor 132 KW (180 CV) Automatico 1 vel","","Eléctricos puros","M1","3509","15.6","132.0","412.0","58.0"
