"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Solaris Urbino 10,5 mild hybrid Microhíbrido","","Híbridos de gasóleo","M3","20000","","35.0","","1.0"
"Solaris Urbino 12 electric Electric","","Eléctricos puros","M3","20000","90.0","250.0","300.0","420.0"
"Solaris Urbino 12 GNC GNC","","Gas natural","M3","20000","","","",""
"Solaris Urbino 12 GNC mild hybrid Microhíbrido","","Gas natural","M3","20000","","35.0","","1.0"
"Solaris Urbino 12 Hybrid Hybrid","","Híbridos de gasóleo","M3","20000","","195.0","1.0","1.0"
"Solaris Urbino 12 hydrogen Electric","","Pila de combustible","M3","20000","","250.0","350.0","30.0"
"Solaris Urbino 12 mild hybrid Microhíbrido","","Híbridos de gasóleo","M3","20000","","35.0","","1.0"
"Solaris Urbino 12 plug-in hybrid Plug-in hybrid","","Híbridos enchufables","M3","20000","100.0","195.0","10.0","32.0"
"Solaris Urbino 15 LE electric Electric","","Eléctricos puros","M3","24000","150.0","310.0","330.0","600.0"
"Solaris Urbino 18 electric Electric","","Eléctricos puros","M3","28000","150.0","240.0","400.0","800.0"
"Solaris Urbino 18 GNC GNC","","Gas natural","M3","28000","","","",""
"Solaris Urbino 18 GNC mild hybrid Microhíbrido","","Gas natural","M3","28000","","35.0","","1.0"
"Solaris Urbino 18 Hybrid Hybrid","","Híbridos de gasóleo","M3","28000","","200.0","1.0","1.0"
"Solaris Urbino 18 hydrogen Electric","","Pila de combustible","M3","28000","","250.0","380.0","60.0"
"Solaris Urbino 18 mild hybrid Microhíbrido","","Híbridos de gasóleo","M3","28000","","35.0","","1.0"
"Solaris Urbino 18 plug-in hybrid Plug-in hybrid","","Híbridos enchufables","M3","28000","140.0","200.0","10.0","32.0"
"Solaris Urbino 24 electric Electric","","Eléctricos puros","M3","32000","200.0","480.0","350.0","700.0"
"Solaris Urbino 9 LE electric Electric","","Eléctricos puros","M3","16000","90.0","172.0","300.0","350.0"
