"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Suzuki ACROSS 2.5L GLX 4WD PHEV","","Híbridos enchufables","M1","2510","16.6","174.0","75.0","18.1"
"Suzuki IGNIS MC 1.2L GLE 4WD MILD HYBRID MY 21","","Híbridos de gasolina","M1","1330","","1.9","","0.0"
"Suzuki IGNIS MC 1.2L GLE MILD HYBRID MY21","","Híbridos de gasolina","M1","1330","","1.9","","0.0"
"Suzuki IGNIS MC 1.2L GLX 4WD MILD HYBRID MY21","","Híbridos de gasolina","M1","1330","","1.9","","0.0"
"Suzuki IGNIS MC 1.2L GLX AUT. MILD HYBRID MY21","","Híbridos de gasolina","M1","1330","","1.9","","0.0"
"Suzuki IGNIS MC 1.2L GLX MILD HYBRID MY21","","Híbridos de gasolina","M1","1330","","1.9","","0.0"
"Suzuki Jimny 1.5L PRO","","Gasolina","N1","1435","","","",""
"Suzuki S-CROSS 1.4T S1 MILD HYBRID","","Híbridos de gasolina","M1","1685","","10.0","","0.4"
"Suzuki S-CROSS 1.4T S2 4WD MILD HYBRID","","Híbridos de gasolina","M1","1755","","10.0","","0.4"
"Suzuki S-CROSS 1.4T S2 MILD HYBRID","","Híbridos de gasolina","M1","1685","","10.0","","0.4"
"Suzuki S-CROSS 1.4T S3 4WD MILD HYBRID","","Híbridos de gasolina","M1","1755","","10.0","","0.4"
"Suzuki S-CROSS 1.4T S3 MILD HYBRID","","Híbridos de gasolina","M1","1685","","10.0","","0.4"
"Suzuki S-CROSS 1.5L S2 4WD STRONG HYBRID","","Híbridos de gasolina","M1","1810","","24.6","","0.8"
"Suzuki S-CROSS 1.5L S2 STRONG HYBRID","","Híbridos de gasolina","M1","1740","","24.6","","0.8"
"Suzuki S-CROSS 1.5L S3 4WD STRONG HYBRID","","Híbridos de gasolina","M1","1810","","24.6","","0.8"
"Suzuki S-CROSS 1.5L S3 STRONG HYBRID","","Híbridos de gasolina","M1","1740","","24.6","","0.8"
"Suzuki SWACE 1.8L GLE HYBRID","","Híbridos de gasolina","M1","1835","","53.0","","0.8"
"Suzuki SWACE 1.8L GLX HYBRID","","Híbridos de gasolina","M1","1835","","53.0","","0.8"
"Suzuki SWACE MC 1.8L GLE HYBRID","","Híbridos de gasolina","M1","1885","","70.0","","0.9"
"Suzuki SWACE MC 1.8L GLX HYBRID","","Híbridos de gasolina","M1","1885","","70.0","","0.9"
"Suzuki SWIFT MC 1.2L GLE 4WD MILD HYBRID MY21","","Híbridos de gasolina","M1","1420","","1.9","","0.0"
"Suzuki SWIFT MC 1.2L GLE AUT. MILD HYBRID MY21","","Híbridos de gasolina","M1","1375","","1.9","","0.0"
"Suzuki SWIFT MC 1.2L GLE MILD HYBRID MY21","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT MC 1.2L GLX AUT. MILD HYBRID MY21","","Híbridos de gasolina","M1","1375","","1.9","","0.0"
"Suzuki SWIFT MC 1.2L GLX MILD HYBRID MY21","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT MY24 1.2L S1 MILD HYBRID","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT MY24 1.2L S2 4WD MILD HYBRID","","Híbridos de gasolina","M1","1","","1.9","","0.0"
"Suzuki SWIFT MY24 1.2L S2 AUT. MILD HYBRID","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT MY24 1.2L S2 MILD HYBRID","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT MY24 1.2L S3 AUT. MILD HYBRID","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT MY24 1.2L S3 MILD HYBRID","","Híbridos de gasolina","M1","1365","","1.9","","0.0"
"Suzuki SWIFT SPORT 1.4T SPORT MILD HYBRID MY21","","Híbridos de gasolina","M1","1445","","10.0","","0.4"
"Suzuki VITARA 1.4T GLE 4WD MILD HYBRID CO2","","Híbridos de gasolina","M1","1720","","10.0","","0.4"
"Suzuki VITARA 1.4T GLE 4WD MILD HYBRID MY21","","Híbridos de gasolina","M1","1770","","10.0","","0.4"
"Suzuki VITARA 1.4T GLE MILD HYBRID CO2","","Híbridos de gasolina","M1","1650","","10.0","","0.4"
"Suzuki VITARA 1.4T GLE MILD HYBRID MY21","","Híbridos de gasolina","M1","1770","","10.0","","0.4"
"Suzuki VITARA 1.4T GLX 4WD MILD HYBRID CO2","","Híbridos de gasolina","M1","1720","","10.0","","0.4"
"Suzuki VITARA 1.4T GLX 4WD MILD HYBRID MY21","","Híbridos de gasolina","M1","1770","","10.0","","0.4"
"Suzuki VITARA 1.4T GLX MILD HYBRID CO2","","Híbridos de gasolina","M1","1650","","10.0","","0.4"
"Suzuki VITARA 1.4T GLX MILD HYBRID MY21","","Híbridos de gasolina","M1","1770","","10.0","","0.4"
"Suzuki VITARA 1.5L GLE 4WD STRONG HYBRID CO2","","Híbridos de gasolina","M1","1780","","24.6","","0.9"
"Suzuki VITARA 1.5L GLE STRONG HYBRID CO2","","Híbridos de gasolina","M1","1725","","24.6","","0.9"
"Suzuki VITARA 1.5L GLX 4WD STRONG HYBRID CO2","","Híbridos de gasolina","M1","1780","","24.6","","0.9"
"Suzuki VITARA 1.5L GLX STRONG HYBRID CO2","","Híbridos de gasolina","M1","1725","","24.6","","0.9"
