"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"TESLA  Model X Gran autonomía","","Eléctricos puros","M1","3040","21.5","421.0","561.0","100.0"
"TESLA  Model X Gran autonomía","","Eléctricos puros","M1","3040","21.5","421.0","561.0","100.0"
"TESLA  Model X Gran autonomía","","Eléctricos puros","M1","3040","21.5","421.0","561.0","100.0"
"TESLA  Model X Performance","","Eléctricos puros","M1","3087","22.1","599.0","548.0","100.0"
"TESLA  Model X Performance","","Eléctricos puros","M1","3087","22.1","599.0","548.0","100.0"
"TESLA  Model X Performance","","Eléctricos puros","M1","3087","22.1","599.0","548.0","100.0"
"TESLA Model 3 Autonomía estándar plus","","Eléctricos puros","M1","2139","14.2","239.0","448.0","50.0"
"TESLA Model 3 Gran autonomía - 580km","","Eléctricos puros","M1","2232","14.8","366.0","580.0","74.0"
"TESLA Model 3 Gran autonomía - 602km","","Eléctricos puros","M1","2232","14.7","366.0","602.0","74.0"
"TESLA Model 3 Gran autonomía - 614km","","Eléctricos puros","M1","2232","14.7","366.0","614.0","74.0"
"TESLA Model 3 Highland Gran Autonomía","","Eléctricos puros","M1","2263","14.0","366.0","629.0","77.0"
"TESLA Model 3 Highland Tracción Trasera","","Eléctricos puros","M1","2200","13.2","208.0","513.0","60.0"
"TESLA Model 3 Performance","","Eléctricos puros","M1","2232","16.5","377.0","567.0","74.0"
"TESLA Model 3 Performance - 559km","","Eléctricos puros","M1","2232","16.5","377.0","559.0","74.0"
"TESLA Model 3 Tracción trasera","","Eléctricos puros","M1","2139","14.4","239.0","491.0","50.0"
"TESLA Model 3 Tracción Trasera - Gran Autonomía","","Eléctricos puros","M1","2139","13.8","208.0","638.0","74.0"
"TESLA Model S Gran autonomía","","Eléctricos puros","M1","2574","18.5","421.0","652.0","100.0"
"TESLA Model S Performance","","Eléctricos puros","M1","2626","19.0","599.0","639.0","100.0"
"TESLA Model Y Gran autonomía","","Eléctricos puros","M1","2371","16.9","378.0","542.0","74.0"
"TESLA Model Y Performance","","Eléctricos puros","M1","2371","17.3","393.0","514.0","74.0"
"TESLA Model Y Tracción trasera","","Eléctricos puros","M1","2549","15.7","220.0","455.0","50.0"
"TESLA Model Y Tracción trasera - Gran Autonomía","","Eléctricos puros","M1","2423","14.9","255.0","600.0","77.0"
