"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Toyota AURIS HYBRID HB Advance Llanta 17p (MY19)","","Híbridos de gasolina","M1","1840","","","",""
"Toyota AURIS HYBRID HB Feel! Llanta 17p (MY19)","","Híbridos de gasolina","M1","1815","","","",""
"Toyota AURIS HYBRID HB Llanta 15p (MY19)","","Híbridos de gasolina","M1","1815","","","",""
"Toyota AURIS HYBRID HB Llanta 16p (MY19)","","Híbridos de gasolina","M1","1815","","","",""
"Toyota AURIS HYBRID TS Llanta 15p (MY19)","","Híbridos de gasolina","M1","1815","","","",""
"Toyota AURIS HYBRID TS Llanta 16p (MY19)","","Híbridos de gasolina","M1","1815","","","",""
"Toyota AURIS HYBRID TS Llanta 17p (MY19)","","Híbridos de gasolina","M1","1865","","","",""
"Toyota AYGO 1.0 x-play/ x-cité/ x-clusiv/ x-style Automático (MY20)","","Gasolina","M1","1240","","","",""
"Toyota AYGO 1.0 x-play/ x-cité/ x-clusiv/ x-style Manual (MY20)","","Gasolina","M1","1240","","","",""
"Toyota AYGO 1.0 X-play/X-sport automático (MY21)","","Gasolina","M1","1240","","","",""
"Toyota AYGO 1.0 X-play/X-sport manual (MY21)","","Gasolina","M1","1240","","","",""
"Toyota AYGO 70 Automático (MY18)","","Gasolina","M1","1240","","","",""
"Toyota AYGO 70 Manual (MY18)","","Gasolina","M1","1240","","","",""
"Toyota AYGO X CROSS 5MT Like/Chic (MY23)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Like/Chic (MY24)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Like/Chic (NG22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Play (MY22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Play (MY23)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Play (MY24)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Play (NG22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS 5MT Trendy edition/Limited edition (MY22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Like/Chic (MY23)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Like/Chic (NG22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Like/Chic/JBL Limited Edition (MY24)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Play (MY22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Play (MY23)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Play (MY24)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Play (NG22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Trendy edition/Limited edition (MY22)","","Gasolina","M1","1360","","","",""
"Toyota AYGO X CROSS CVT Undercover (MY23)","","Gasolina","M1","1360","","","",""
"Toyota BZ4X 4x2 Eco/Advance/Style/Style plus (MY22)","","Eléctricos puros","M1","2465","14.0","150.0","516.0","71.4"
"Toyota BZ4X 4x4 Eco/Advance/Style/Style plus/Luxury (MY22)","","Eléctricos puros","M1","2550","16.0","160.0","470.0","71.4"
"Toyota C-HR 1,8 Active/Active connect/Advance/Advance connect/Advance plus/Advance plus connect (MY23)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 1.8 Active /Lounge Advance/ Lounge Advance Plus Llanta 18p ó 17p (MY21)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 1.8 Advance/Advance connect/Advance plus/Advance plus connect/Active/Active connect (MY22)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 1.8 Llanta 17p (MY19)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 1.8 Llanta 17p (MY20)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 1.8 Llanta 18p (MY19)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 1.8 Llanta 18p (MY20)","","Híbridos de gasolina","M1","1860","","","",""
"Toyota C-HR 2,0 Advance/Advance connect/Advance luxury/Advance luxury connect (MY23)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2,0 GR-Sport/GR-Sport connect/GR-Sport black edition (MY23)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2.0 Advance/Advance connect/Advance luxury/Advance luxury connect (MY22)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2.0 GR Sport Llanta 19p (MY21)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2.0 GR-Sport/GR-Sport black edition/GR-Sport connect (MY22)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2.0 Llanta 18p (MY20)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2.0 Lounge Advance/ Lounge Advance Luxury Llanta 18p (MY21)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2WD 1.8 Active/Advance/Advance Plus (NG24)","","Híbridos de gasolina","M1","1930","","","",""
"Toyota C-HR 2WD 2.0 Advance/Advance Plus/GR Sport Premiere Edition (NG24)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota C-HR 2WD 2.0 PHEV Advance/Advance Plus/Premiere Edition/GR Sport/GR Sport Prem. Ed. (NG24)","","Híbridos enchufables","M1","2130","15.0","120.0","69.0","14.0"
"Toyota C-HR 2WD 2.0 Premiere Edition/GR Sport (NG24)","","Híbridos de gasolina","M1","1955","","","",""
"Toyota C-HR 4WD 2.0 GR Sport (NG24)","","Híbridos de gasolina","M1","2015","","","",""
"Toyota C-HR 4WD 2.0 GR Sport Premiere Edition (NG24)","","Híbridos de gasolina","M1","2015","","","",""
"Toyota CAMRY 2.5 Advance/ Luxury Llanta 18p (NG19)","","Híbridos de gasolina","M1","2100","","","",""
"Toyota CAMRY 2.5 Business Llanta 17p (NG19)","","Híbridos de gasolina","M1","2100","","","",""
"Toyota CAMRY Advance/Luxury (MY22)","","Híbridos de gasolina","M1","2100","","","",""
"Toyota CAMRY Business plus/Advance plus (MY21)","","Híbridos de gasolina","M1","2100","","","",""
"Toyota COROLLA 1.8 Eco/Style/Style plus (MY23)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Hatchback Business plus/Active tech/Style (MY21)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Business/Active Plus/GR Sport (MY24)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Business/Active plus/Style/Advance (MY23)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Llanta 17p (NG19)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Llanta15p y 16p (NG19)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Style Edition (MY24)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Style Plus/GR Sport (MY23)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Hatchback Style/Style plus/Business/Business plus/Active tech (MY22)","","Híbridos de gasolina","M1","1820","","","",""
"Toyota COROLLA 1.8 Sedán Advance Llanta 18p (MY21)","","Híbridos de gasolina","M1","1835","","","",""
"Toyota COROLLA 1.8 Sedán Advance/Active tech/Business plus/Style/Eco (MY22)","","Híbridos de gasolina","M1","1835","","","",""
