"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 1.0 TSI 102CV","","Gasolina","M1","2235","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 1.4 TGI 110CV DSG GNC","","Gas natural","M1","2180","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 1.4 TGI 110CV GNC","","Gas natural","M1","2415","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 1.4 TSI 130CV","","Gasolina","M1","2280","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 1.4 TSI 130CV DSG","","Gasolina","M1","2280","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 2.0 TDI 102CV","","Gasóleo","M1","2350","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 2.0 TDI 102CV DSG","","Gasóleo","M1","2380","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 2.0 TDI 122CV 4M","","Gasóleo","M1","2415","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 2.0 TDI 150CV","","Gasóleo","M1","2365","","","",""
"Volkswagen Vehículos Comerciales  Caddy Maxi Trendline 2.0 TDI 150CV DSG","","Gasóleo","M1","2385","","","",""
"Volkswagen Vehículos Comerciales  e-Crafter 136 CV","","Eléctricos puros","N1","3500","21.5","100.0","120.0","35.8"
"Volkswagen Vehículos Comerciales ABT e-Caddy Maxi Furgón 110CV","","Eléctricos puros","N1","2346","23.3","110.0","159.0","37.3"
"Volkswagen Vehículos Comerciales ABT e-Transporter 6.1 Batalla Larga 110CV","","Eléctricos puros","N1","2800","30.9","110.0","138.0","37.3"
"Volkswagen Vehículos Comerciales Amarok 2.0 TDI V4  125kw (170CV) 4x4 Manual","","Gasóleo","N1","3190","","","",""
"Volkswagen Vehículos Comerciales Amarok Aventura 3.0 TDI V6  177kw (241CV) 4x4 Automático","","Gasóleo","N1","3190","","","",""
"Volkswagen Vehículos Comerciales Amarok Style 2.0 TDI V4  151kw (205CV) 4x4 Automático","","Gasóleo","N1","3280","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California 1.5 TSI 114CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California 1.5 TSI 114CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California 2.0 TDI 102CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California 2.0 TDI 122CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California 2.0 TDI 122CV 4MO","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California 2.0 TDI 122CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California Maxi 1.5 TSI 114CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California Maxi 1.5 TSI 114CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California Maxi 2.0 TDI 102CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California Maxi 2.0 TDI 122CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California Maxi 2.0 TDI 122CV 4MO","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 California Maxi 2.0 TDI 122CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo 2.0 TDI 102CV","","Gasóleo","N1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo 2.0 TDI 122CV","","Gasóleo","N1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo 2.0 TDI 122CV 4MO","","Gasóleo","N1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo 2.0 TDI 122CV DSG","","Gasóleo","N1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo 2.0 TDI 75CV","","Gasóleo","N1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo Maxi 2.0 TDI 102CV","","Gasóleo","N1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo Maxi 2.0 TDI 122CV","","Gasóleo","N1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo Maxi 2.0 TDI 122CV 4MO","","Gasóleo","N1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Cargo Maxi 2.0 TDI 122CV DSG","","Gasóleo","N1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Kombi 1.5 TSI 114CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Kombi 2.0 TDI 102CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Kombi Maxi 1.5 TSI 114CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Kombi Maxi 2.0 TDI 102CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life 1.5 TSI 114CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life 1.5 TSI 114CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life 2.0 TDI 122CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life 2.0 TDI 122CV 4MO","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life 2.0 TDI 122CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life Maxi 1.5 TSI 114CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life Maxi 1.5 TSI 114CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life Maxi 2.0 TDI 122CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life Maxi 2.0 TDI 122CV 4MO","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Life Maxi 2.0 TDI 122CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin 1.5 TSI 114CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin 1.5 TSI 114CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin 2.0 TDI 102CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin 2.0 TDI 122CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin 2.0 TDI 122CV 4MO","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin 2.0 TDI 122CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin Maxi 1.5 TSI 114CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin Maxi 1.5 TSI 114CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin Maxi 2.0 TDI 102CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin Maxi 2.0 TDI 122CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin Maxi 2.0 TDI 122CV 4MO","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Origin Maxi 2.0 TDI 122CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor 1.5 TSI 114CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor 1.5 TSI 114CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor 2.0 TDI 102CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor 2.0 TDI 122CV","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor 2.0 TDI 122CV 4MO","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor 2.0 TDI 122CV DSG","","Gasóleo","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor Maxi 1.5 TSI 114CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor Maxi 1.5 TSI 114CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor Maxi 2.0 TDI 102CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor Maxi 2.0 TDI 122CV","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor Maxi 2.0 TDI 122CV 4MO","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy 5 Outdoor Maxi 2.0 TDI 122CV DSG","","Gasóleo","M1","2450","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 1.0 TSI 102CV","","Gasolina","M1","2160","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 1.4 TSI 130CV","","Gasolina","M1","2200","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 1.4 TSI 130CV DSG","","Gasolina","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 2.0 TDI 102CV","","Gasóleo","M1","2275","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 2.0 TDI 102CV DSG","","Gasóleo","M1","2280","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 2.0 TDI 150CV","","Gasóleo","M1","2275","","","",""
"Volkswagen Vehículos Comerciales Caddy Beach 2.0 TDI 150CV DSG","","Gasóleo","M1","2280","","","",""
"Volkswagen Vehículos Comerciales Caddy Comfortline 1.4 TSI 130CV","","Gasolina","M1","2200","","","",""
"Volkswagen Vehículos Comerciales Caddy Comfortline 1.4 TSI 130CV DSG","","Gasolina","M1","2220","","","",""
"Volkswagen Vehículos Comerciales Caddy Comfortline 2.0 TDI 150CV","","Gasóleo","M1","2275","","","",""
"Volkswagen Vehículos Comerciales Caddy Comfortline 2.0 TDI 150CV DSG","","Gasóleo","M1","2280","","","",""
"Volkswagen Vehículos Comerciales Caddy Comfortline 2.0 TDI 150CV DSG 4M","","Gasóleo","M1","2290","","","",""
"Volkswagen Vehículos Comerciales Caddy Edition 1.0 TSI 102CV","","Gasolina","M1","2160","","","",""
"Volkswagen Vehículos Comerciales Caddy Edition 1.4 TGI 110CV","","Gas natural","M1","2175","","","",""
"Volkswagen Vehículos Comerciales Caddy Edition 2.0 TDI 102CV","","Gasóleo","M1","2275","","","",""
"Volkswagen Vehículos Comerciales Caddy Furgón Corto 1.4 TGI 110CV GNC","","Gas natural","N1","2225","","","",""
"Volkswagen Vehículos Comerciales Caddy Furgón Corto 1.4 TGI 110CV GNC DSG","","Gas natural","N1","2264","","","",""
"Volkswagen Vehículos Comerciales Caddy Furgón Largo 1.4 TGI 110CV DSG GNC","","Gas natural","N1","2264","","","",""
"Volkswagen Vehículos Comerciales Caddy Furgón Largo 1.4 TGI 110CV GNC","","Gas natural","N1","2225","","","",""
"Volkswagen Vehículos Comerciales Caddy Kombi 1.0 TSI 102CV","","Gasolina","M1","2160","","","",""
