"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Volvo C40 Recharge Eléctrico Puro Twin , Plus, Ultimate, AWD, MY23","","Eléctricos puros","M1","2620","20.7","300.0","444.0","69.0"
"Volvo C40 Recharge Eléctrico Puro, Core, Plus, Ultimate, FWD, MY23","","Eléctricos puros","M1","2470","18.2","170.0","434.0","69.0"
"Volvo C40 Recharge Twin Eléctrico Puro, Pro, Plus, AWD, MY22","","Eléctricos puros","M1","2600","18.9","300.0","501.0","78.0"
"Volvo C40 Single Motor Extended Range RWD, Core, Plus, Ultimate, MY24","","Eléctricos puros","M1","2500","15.9","185.0","540.0","82.0"
"Volvo C40 Single Motor RWD, Plus, Ultimate, MY24","","Eléctricos puros","M1","2460","16.8","177.0","468.0","69.0"
"Volvo C40 Twin Motor eAWD, Plus, Ultimate, MY24","","Eléctricos puros","M1","2620","17.0","290.0","510.0","82.0"
"Volvo EX30 Single Motor Extended Range RWD, Core, Plus, Ultra, MY24","","Eléctricos puros","M1","2240","17.5","200.0","462.0","69.0"
"Volvo EX30 Single Motor RWD, Core, Plus, Ultra, MY24","","Eléctricos puros","M1","2210","18.5","200.0","327.0","51.0"
"Volvo EX30 Twin Motor Performance AWD, Plus, Ultra, MY24","","Eléctricos puros","M1","2335","17.3","315.0","445.0","69.0"
"Volvo EX90 Twin Motor eAWD, Aut. MY24","","Eléctricos puros","M1","3380","20.9","304.0","585.0","111.0"
"Volvo EX90 Twin Motor Performance eAWD, Aut. MY24","","Eléctricos puros","M1","3380","21.1","385.0","580.0","111.0"
"Volvo S60 Gasolina, Core B4, MY23","","Híbridos de gasolina","M1","2190","","","",""
"Volvo S60 Gasolina, Core, Plus,Ultimate, B4, MY24","","Híbridos de gasolina","M1","2300","","","",""
"Volvo S60 Gasolina, Plus B4, MY23","","Híbridos de gasolina","M1","2190","","","",""
"Volvo S60 Gasolina, Ultimate B5, MY23","","Híbridos de gasolina","M1","2230","","","",""
"Volvo S60 Gasolina, Ultimate B5, MY24","","Híbridos de gasolina","M1","2230","","","",""
"Volvo S60 Híbrido Enchufable eAWD, Plus, Ultimate T8 MY24","","Híbridos enchufables","M1","2500","19.9","107.0","74.0","18.8"
"Volvo S60 Inscription, Momentum Pro, R-design B4 MY22","","Híbridos de gasolina","M1","2230","","","",""
"Volvo S60 Inscription, Momentum Pro, R-design B5 MY22","","Híbridos de gasolina","M1","2230","","","",""
"Volvo S60 Recharge Híbrido Enchufable, Core, AWD, T8 MY23","","Híbridos enchufables","M1","2500","16.9","107.0","94.0","18.8"
"Volvo S60 Recharge Híbrido Enchufable, Plus, AWD, T8 MY23","","Híbridos enchufables","M1","2500","16.9","107.0","94.0","18.8"
"Volvo S60 Recharge Híbrido Enchufable, Ultimate, AWD, T8 MY23","","Híbridos enchufables","M1","2500","16.9","107.0","94.0","18.8"
"Volvo S60 Recharge, AWD, Inscription, Inscription Expression, R-Design T8 MY22","","Híbridos enchufables","M1","2500","14.8","117.0","58.0","6.0"
"Volvo S60 Recharge, AWD, Polestar, MY22","","Híbridos enchufables","M1","2500","14.8","117.0","58.0","6.0"
"Volvo S90 Gasóleo AWD Core, Plus, Ultimate, B5 MY24","","Híbridos de gasóleo","M1","2430","","","",""
"Volvo S90 Gasóleo, Core, AWD, B5 MY23","","Híbridos de gasóleo","M1","2430","","","",""
"Volvo S90 Gasóleo, Plus, AWD, B5 MY23","","Híbridos de gasóleo","M1","2430","","","",""
"Volvo S90 Gasóleo, Ultimate, AWD, B5 MY23","","Híbridos de gasóleo","M1","2430","","","",""
"Volvo S90 Gasolina, Core, B4 MY23","","Híbridos de gasolina","M1","2300","","","",""
"Volvo S90 Gasolina, Core, Plus, B4 MY24","","Híbridos de gasolina","M1","2300","","","",""
"Volvo S90 Gasolina, Plus, B4 MY23","","Híbridos de gasolina","M1","2300","","","",""
"Volvo S90 Gasolina, Ultimate, B4 MY23","","Híbridos de gasolina","M1","2300","","","",""
"Volvo S90 Híbrido Enchufable eAWD, Plus, Ultimate T8 MY24","","Híbridos enchufables","M1","2570","17.1","107.0","74.0","18.8"
"Volvo S90 Inscription, Momentum Pro, R-design B4 MY22","","Híbridos de gasolina","M1","2300","","","",""
"Volvo S90 Inscription, Momentum Pro, R-design B5 MY22","","Híbridos de gasóleo","M1","2430","","","",""
"Volvo S90 Recharge Plug-in Hybrid, Core, AWD,T8 MY23","","Híbridos enchufables","M1","2570","17.1","107.0","90.0","18.8"
"Volvo S90 Recharge Plug-in Hybrid, Plus, AWD,T8 MY23","","Híbridos enchufables","M1","2570","17.1","107.0","90.0","18.8"
"Volvo S90 Recharge Plug-in Hybrid, Ultimate, AWD,T8 MY23","","Híbridos enchufables","M1","2570","17.1","107.0","90.0","18.8"
"Volvo S90 Recharge, AWD, Inscription, Inscription Expression, R-Design T8 MY22","","Híbridos enchufables","M1","2590","14.5","65.0","61.0","6.0"
"Volvo V60 Cross Country Gasóleo AWD, Core, Plus, Ultimate, B4 MY24","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V60 Cross Country Gasóleo, Core, AWD, B4 MY23","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V60 Cross Country Gasóleo, Ultimate, AWD, B4 MY23","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V60 Cross Country Gasolina AWD, Core, Plus Ultimate, B5 MY24","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V60 Cross Country Gasolina, Core, AWD, B5 MY23","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V60 Cross Country Gasolina, Ultimate, AWD, B5 MY23","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V60 Cross Country Momentum, Momentum Pro, B4 MY22","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V60 Cross Country Momentum, Momentum Pro, B5 MY22","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V60 Gasóleo, Core, AWD, B4 MY23","","Híbridos de gasóleo","M1","2290","","","",""
"Volvo V60 Gasóleo, Essential, AWD, B4 MY23","","Híbridos de gasóleo","M1","2290","","","",""
"Volvo V60 Gasóleo, Essential, Core, Plus, Ultimate B4 MY24","","Híbridos de gasóleo","M1","2290","","","",""
"Volvo V60 Gasóleo, Plus, AWD, B4 MY23","","Híbridos de gasóleo","M1","2290","","","",""
"Volvo V60 Gasóleo, Ultimate, AWD, B4 MY23","","Híbridos de gasóleo","M1","2290","","","",""
"Volvo V60 Gasolina, Core, B3 MY23","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Gasolina, Essential, Core, Plus, Ultimate B3 MY24","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Gasolina, Essntial, B3 MY23","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Gasolina, Plus, B3 MY23","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Gasolina, Plus, B4 MY23","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Gasolina, Ultimate, B4 MY23","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Híbrido Enchufable eAWD, Core, Plus, Ultimate T6 MY24","","Híbridos enchufables","M1","2530","19.9","107.0","74.0","18.8"
"Volvo V60 Inscription, Momentum, Momentum Pro, R-design B3 MY22","","Híbridos de gasolina","M1","2240","","","",""
"Volvo V60 Inscription,Momentum, Momentum Pro, R-design B4 MY22","","Híbridos de gasóleo","M1","2290","","","",""
"Volvo V60 Recharge Híbrido Enchufable, Core, AWD, T6 MY23","","Híbridos enchufables","M1","2530","17.4","107.0","91.0","18.8"
"Volvo V60 Recharge Híbrido Enchufable, Plus, AWD, T6 MY23","","Híbridos enchufables","M1","2530","17.4","107.0","91.0","18.8"
"Volvo V60 Recharge Híbrido Enchufable, Ultimate, AWD, T6 MY23","","Híbridos enchufables","M1","2530","17.4","107.0","91.0","18.8"
"Volvo V60 Recharge, AWD, Inscription, Inscription Expression, R-Design T6 MY22","","Híbridos enchufables","M1","2500","14.8","117.0","58.0","6.0"
"Volvo V60 Recharge, AWD, Polestar, T8 MY22","","Híbridos enchufables","M1","2500","14.8","117.0","58.0","6.0"
"Volvo V90 Cross Country Gasóleo AWD, Core, Ultimate , B5 MY24","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Gasóleo AWD, Core, Ultimate, B4 MY24","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Gasóleo, Core, AWD, B4 MY23","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Gasóleo, Core, AWD, B5 MY23","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Gasóleo, Ultimate, AWD, B4 MY23","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Gasóleo, Ultimate, AWD, B5 MY23","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Momentum Pro, B4 MY22","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Cross Country Momentum Pro, B5 MY22","","Híbridos de gasóleo","M1","2510","","","",""
"Volvo V90 Gasóleo AWD, Core, Plus, Ultimate, B5 MY24","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V90 Gasóleo, Core, B4 MY23","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V90 Gasóleo, Core, Plus, Ultimate, B4 MY24","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V90 Gasóleo, Plus, AWD, B5 MY23","","Híbridos de gasóleo","M1","2480","","","",""
"Volvo V90 Gasóleo, Plus, B4 MY23","","Híbridos de gasóleo","M1","2410","","","",""
"Volvo V90 Gasóleo, Ultimate, AWD, B5 MY23","","Híbridos de gasóleo","M1","2480","","","",""
"Volvo V90 Gasolina, Core, B4 MY23","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V90 Gasolina, Core, B4 MY24","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V90 Híbrido enchufable eAWD, Plus, Ultimate,T6 MY24","","Híbridos enchufables","M1","2590","19.8","107.0","74.0","18.8"
"Volvo V90 Híbrido enchufable eAWD, Ultimate,T8 MY24","","Híbridos enchufables","M1","2590","19.8","107.0","74.0","18.8"
"Volvo V90 Inscription, Momentum Pro, R-design B4 (Gasoil) MY22","","Híbridos de gasóleo","M1","2480","","","",""
"Volvo V90 Inscription, Momentum Pro, R-design B4 (Gasolina) MY22","","Híbridos de gasolina","M1","2350","","","",""
"Volvo V90 Inscription, Momentum Pro, R-design B5 MY22","","Híbridos de gasóleo","M1","2480","","","",""
"Volvo V90 Recharge Plug-in Hybrid, Core, AWD,T6 MY23","","Híbridos enchufables","M1","2590","17.4","107.0","88.0","18.8"
"Volvo V90 Recharge Plug-in Hybrid, Plus, AWD,T6 MY23","","Híbridos enchufables","M1","2590","17.4","107.0","88.0","18.8"
"Volvo V90 Recharge Plug-in Hybrid, Ultimate, AWD,T6 MY23","","Híbridos enchufables","M1","2590","17.4","107.0","88.0","18.8"
"Volvo V90 Recharge Plug-in Hybrid, Ultimate, AWD,T8 MY23","","Híbridos enchufables","M1","2590","17.1","107.0","90.0","18.8"
"Volvo V90 Recharge, AWD, Inscription, Inscription Expression, R-Design T6 MY22","","Híbridos enchufables","M1","2610","14.5","65.0","61.0","6.0"
"Volvo V90 Recharge, AWD, Inscription, Inscription Expression, R-Design T8 MY22","","Híbridos enchufables","M1","2620","14.5","65.0","61.0","6.0"
