"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Peugeot 108 108 5P Active VTi 72 ETG5","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Active VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Active VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Active VTi 75 ETG5","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Active VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Active VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Allure VTi 72 ETG5","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Allure VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Allure VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Allure VTi 75 ETG5","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Allure VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Allure VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Collection VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Collection VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Collection VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 5P Collection VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP Allure VTi 72 ETG5","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP Allure VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP Allure VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP Collection VTi 72 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP Collection VTi 72 MAN 5 Vel.","","Gasolina","M2","1240","","","",""
"Peugeot 108 108 TOP! Allure VTi 75 ETG5","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP! Allure VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP! Allure VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP! Collection VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 108 108 TOP! Collection VTi 75 MAN 5 Vel.","","Gasolina","M1","1240","","","",""
"Peugeot 2008 2008 Allure BlueHDi 100 S&S 5 Vel.MAN","","Gasóleo","M1","1700","","","",""
"Peugeot 2008 2008 Allure BlueHDi 120 S&S EAT6","","Gasóleo","M1","1750","","","",""
"Peugeot 2008 2008 Allure PureTech 110 S&S EAT6","","Gasolina","M1","1680","","","",""
"Peugeot 2008 2008 Allure PureTech 130 S&S","","Gasolina","M1","1665","","","",""
"Peugeot 2008 2008 GT Line BlueHDi 100 S&S 5 Vel.MAN","","Gasóleo","M1","1700","","","",""
"Peugeot 2008 2008 GT Line BlueHDi 120 S&S EAT6","","Gasóleo","M1","1750","","","",""
"Peugeot 2008 2008 GT Line PureTech 110 S&S EAT6","","Gasolina","M1","1680","","","",""
"Peugeot 2008 2008 GT Line PureTech 130 S&S","","Gasolina","M1","1665","","","",""
"Peugeot 2008 2008 Signature BlueHDi 100 S&S 5 Vel. MAN","","Gasóleo","M1","1700","","","",""
"Peugeot 2008 2008 Signature PureTech 110 S&S EAT6","","Gasolina","M1","1680","","","",""
"Peugeot 2008 2008 Signature PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1665","","","",""
"Peugeot 2008 2008 Signature PureTech 82 S&S 5 Vel. MAN","","Gasolina","M1","1580","","","",""
"Peugeot 2008 2008 Style BlueHDi 100 S&S 5 Vel. MAN","","Gasóleo","M1","1499","","","",""
"Peugeot 2008 2009 Signature PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1655","","","",""
"Peugeot 208 208 5P Active BlueHDi 100 S&S 5vel MAN","","Gasóleo","M1","1655","","","",""
"Peugeot 208 208 5P Active BlueHDi 100 S&S 5vel MAN","","Gasóleo","M1","1655","","","",""
"Peugeot 208 208 5P Active PureTech 82 S&S MAN 5 Vel.","","Gasolina","M1","1550","","","",""
"Peugeot 208 208 5P GT Line BlueHDi 100 S&S 5vel MAN","","Gasóleo","M1","1655","","","",""
"Peugeot 208 208 5P GT Line PureTech 110 S&S EAT6","","Gasolina","M1","1630","","","",""
"Peugeot 208 208 5P GT Line PureTech 110 S&S MAN 6 Vel.","","Gasolina","M1","1600","","","",""
"Peugeot 208 208 5P Signature BlueHDi 100 S&S 5vel MAN","","Gasóleo","M1","1655","","","",""
"Peugeot 208 208 5P Signature PureTech 110 S&S EAT6","","Gasolina","M1","1630","","","",""
"Peugeot 208 208 5P Signature PureTech 110 S&S MAN 6 Vel.","","Gasolina","M1","1600","","","",""
"Peugeot 208 208 5P Signature PureTech 82 S&S MAN 5 Vel.","","Gasolina","M1","1550","","","",""
"Peugeot 208 208 5P Tech Edition BlueHDi 100 S&S 5vel MAN","","Gasóleo","M1","1655","","","",""
"Peugeot 208 208 5P Tech Edition PureTech 110 S&S EAT6","","Gasóleo","M1","1630","","","",""
"Peugeot 208 208 5P Tech Edition PureTech 110 S&S MAN 6 Vel.","","Gasóleo","M1","1600","","","",""
"Peugeot 208 208 5P Tech Edition PureTech 82 S&S MAN 5 Vel.","","Gasóleo","M1","1550","","","",""
"Peugeot 208 XAD 208 XAD Active BlueHDi 100 S&S 5 Vel. MAN","","Gasóleo","N1","1540","","","",""
"Peugeot 3008 3008 Active BlueHDi 130 S&S 6vel MAN.","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 Active BlueHDi 130 S&S 6vel MAN.","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 Active BlueHDi 130 S&S EAT8","","Gasóleo","M1","2000","","","",""
"Peugeot 3008 3008 Active Pack BlueHDi 130 S&S 6vel MAN.","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 Active Pack BlueHDi 130 S&S EAT8","","Gasóleo","M1","2000","","","",""
"Peugeot 3008 3008 Active Pack PLUG-IN HYBRID 180 e-EAT8","","Híbridos enchufables","M1","2290","17.6","81.0","59.0","12.4"
"Peugeot 3008 3008 Active Pack PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2290","17.5","81.2","53.0","13.2"
"Peugeot 3008 3008 Active Pack PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2290","17.4","81.0","53.0","13.2"
"Peugeot 3008 3008 Active Pack PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1910","","","",""
"Peugeot 3008 3008 Active Pack PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 Active PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1910","","","",""
